Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Robert Grimm,New York University,2002,Associate,Programming Languages,Massachusetts Institute of Technology - USA,University of Washington - USA,University of Washington - USA,,http://cs.nyu.edu/~rgrimm/,,,
Subhash Khot,New York University,2008,Full,Algorithms & Theory,Indian Institute of Technology - Bombay - India,,Princeton University - USA,,http://cs.nyu.edu/~khot/publications.html,http://en.wikipedia.org/wiki/Subhash_Khot,,
Thomas Wies,New York University,2011,Assistant,Software Engineering,,Saarland University - Germany,Albert Ludwigs University of Freiburg - Germany,Institute of Science and Technology - Austria,http://cs.nyu.edu/wies/,,,
Victor Shoup,New York University,2002,Full,Algorithms & Theory,University of Wisconsin - Eau Claire - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,http://www.shoup.net/resume.pdf,,,
Yann LeCun,New York University,2003,Full,Machine Learning & Pattern Recognition,École Supérieure d'Ingénieurs en Électronique et Électrotechnique - France,Universite Pierre et Marie Curie - France,Universite Pierre et Marie Curie - France,University of Toronto - Canada,http://yann.lecun.com/,,,
Yevgeniy Dodis,New York University,2001,Full,Security & Privacy,New York University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,IBM Thomas J. Watson Research Center - USA,http://cs.nyu.edu/~dodis/,,,
Zvi Kedem,New York University,1991,Full,Distributed & Parallel Computing,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology - USA,http://cs.nyu.edu/cs/faculty/kedem/,,,
Ben Watson,North Carolina State University,2006,Associate,Graphics,University of California - Irvine - USA,,Georgia Institute of Technology - USA,,http://www.csc.ncsu.edu/people/bwatson,,,
Blair D. Sullivan,North Carolina State University,2013,Assistant,Algorithms & Theory,Georgia Institute of Technology - USA,Princeton University - USA,Princeton University - USA,,http://www.csc.ncsu.edu/people/vbsulliv,,,
Carla D. Savage,North Carolina State University,,Full,Algorithms & Theory,Case Western Reserve University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/savage,,,
Christopher G. Healey,North Carolina State University,2003,Full,Graphics,University of Waterloo - Ontario - Canada,University of British Columbia - Canada,University of British Columbia - Canada,University of California - Berkeley - USA,http://www.csc.ncsu.edu/people/healey,,,
David L. Roberts,North Carolina State University,2010,Assistant,Artificial Intelligence,Colgate University - USA,,Georgia Institute of Technology - USA,,https://www.csc.ncsu.edu/people/dlrober4,,,
David Sturgill,North Carolina State University,2011,Assistant,Distributed & Parallel Computing,University of South Carolina - USA,Cornell University - USA,Cornell University - USA,,http://www.csc.ncsu.edu/news/1197,,,
David Thuente,North Carolina State University,2001,Full,Networks & Communications,Lorse College - USA,University of Kansas - USA,University of Kansas - USA,,http://www.csc.ncsu.edu/research/newsletter/2002/,,,
Dennis R. Bahler,North Carolina State University,1987,Associate,Artificial Intelligence,Rice University - USA,University of Virginia - USA,University of Virginia - USA,,http://www4.ncsu.edu/~bahler/education.html,,,
Donald Bitzer,North Carolina State University,1990,Full,Hardware & Architecture,,,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/bitzer,,,
Douglas S. Reeves,North Carolina State University,1987,Full,Security & Privacy,Indiana University - USA,University of Louisville - USA,Pennsylvania State University - USA,,http://reeves.csc.ncsu.edu/resume.shtml,,,
Edward Gehringer,North Carolina State University,2000,Associate,Real-Time & Embedded Systems,Wayne State University - USA,Purdue University - USA,Purdue University - USA,,https://www.csc.ncsu.edu/people/efg,,,
Emerson Murphy-Hill,North Carolina State University,2010,Assistant,Software Engineering,Evergreen State College - USA,,Portland State University - USA,University of British Columbia - Canada,http://people.engr.ncsu.edu/ermurph3/,,,
Frank Mueller,North Carolina State University,2010,Full,Real-Time & Embedded Systems,Technical University of Berlin - Germany,Florida State University - USA,Florida State University - USA,Humboldt University - Berlin - Germany,http://moss.csc.ncsu.edu/~mueller/cv/,,,
George N. Rouskas,North Carolina State University,1994,Full,Networks & Communications,National Technical University of Athens - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://rouskas.csc.ncsu.edu,,,
Harry Perros,North Carolina State University,,Full,Networks & Communications,Athens University - Greece,University of Leeds - United Kingdom,Trinity College - Dublin - Ireland ,,http://www.csc.ncsu.edu/people/hp,,,
Injong Rhee,North Carolina State University,2001,Full,Networks & Communications,Gyeongbuk University - South Korea,,University of North Carolina - Chapel Hill - USA,Emory University - USA,http://www4.ncsu.edu/~rhee/vita.pdf,,,
James C. Lester,North Carolina State University,1994,Full,Artificial Intelligence,University of Texas - Austin - USA,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.intellimedia.ncsu.edu/?author=10,,,
Jon Doyle,North Carolina State University,2001,Full,Artificial Intelligence,University of Houston - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.csc.ncsu.edu/faculty/doyle/info/bio.html,,,
Kemafor Anyanwu Ogan,North Carolina State University,2007,Assistant,Artificial Intelligence,University of Nigeria - Nigeria,,University of Georgia - USA,,http://www.csc.ncsu.edu/people/kogan,,,
Khaled Harfoush,North Carolina State University,,Associate,Security & Privacy,Alexandria University - Egypt,Alexandria University - Egypt,Boston University - USA,,http://www.linkedin.com/pub/khaled-harfoush/10/420/11a,http://www.csc.ncsu.edu/research/newsletter/2002/,,
Kristy Elizabeth Boyer,North Carolina State University,,Assistant,Artificial Intelligence,Valdosta State University - USA,Georgia Institute of Technology - USA,North Carolina State University - USA,,http://www.csc.ncsu.edu/people/keboyer,,,
Laurie Williams,North Carolina State University,,Full,Software Engineering,Lehigh University - USA,Duke University - USA,University of Utah - USA,,http://collaboration.csc.ncsu.edu/laurie/,,,
Matthias Stallmann,North Carolina State University,,Full,Scientific Computing,,,University of Colorado Boulder - USA,,http://www.researchgate.net/profile/Matthias_Stallmann/,,,
Michael Rappa,North Carolina State University,1998,Full,Scientific Computing,,,University of Minnesota - Twin Cities - USA,,http://analytics.ncsu.edu/?page_id=7,,,
Michael Young,North Carolina State University,1999,Full,Artificial Intelligence,California State University - Sacramento - USA,Stanford University - USA,Stanford University - USA,,http://www.csc.ncsu.edu/people/rmyoung;http://www.csc.ncsu.edu/directories/faculty.php;,,,
Min Chi,North Carolina State University,2013,Assistant,Artificial Intelligence,Shanghai Jiao Tong University - Shanghai - China,University of Pittsburgh - USA,University of Pittsburgh - USA,Carnegie Mellon University - USA,http://workthatmatters.ncsu.edu/newhires/chi.php,,,
Mladen Vouk,North Carolina State University,,Full,Software Engineering,,,King's College - United Kingdom,,http://www.csc.ncsu.edu/people/vouk,,,
Munindar P. Singh,North Carolina State University,1993,Full,Scientific Computing,Indian Institute of Technology - Delhi - India,,University of Texas - Austin - USA,,http://en.wikipedia.org/wiki/Munindar_P._Singh,http://www.csc.ncsu.edu/people/mpsingh,,
Nagiza Samatova,North Carolina State University,2007,Full,Programming Languages,Tashkent State University of Economics - Uzbekistan,University of Tennessee - USA,Russian Academy of Sciences - Russia,,http://www.csc.ncsu.edu/faculty/samatova/cv.pdf,,,
Peng Ning,North Carolina State University,2001,Full,Security & Privacy,University of Science and Technology of China - China,University of Science and Technology of China - China,George Mason University - USA,,http://www.csc.ncsu.edu/people/pning,,,
R. Michael Young,North Carolina State University,1999,Full,Graphics,California State University - Sacramento - USA,Stanford University - USA,University of Pittsburgh - USA,,http://www.csc.ncsu.edu/people/rmyoung,,,
Rada Y. Chirkova,North Carolina State University,,Associate,Algorithms & Theory,,,Stanford University - USA,,http://dbgroup.ncsu.edu/?page_id=29,,,
Randy Avent,North Carolina State University,,Full,Scientific Computing,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,,https://www.csc.ncsu.edu/people/rkavent,,,
Robert D. Rodman,North Carolina State University,,Full,Natural Language & Speech,,,University of California - Los Angeles - USA,,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CEUQFjAD&url=http%3A%2F%2Fbooks.google.com%2Fbooks%2Fabout%2FVoice_recognition.html%3Fid%3DuGBTAAAAMAAJ&ei=Zw_3Uoi0DNCqrAeH44GYAw&usg=AFQjCNF8K1vK3Z1XBHN5pSrMVUM5wS1ASg&sig2=P6GvpXCFfgRDLKirhf2F8Q&bvm=bv.60983673,d.bmk",,,
Robert Fornaro,North Carolina State University,,Full,Software Engineering,Saint Vincent College - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,http://www.computer.org/portal/web/awards/fornaro,,,
Robert St. Amant,North Carolina State University,2001,Associate,Software Engineering,Johns Hopkins University - USA,,University of Massachusetts - Amherst - USA,,http://www4.ncsu.edu/~stamant/cv.pdf,,,
Rudra Dutta,North Carolina State University,,Full,Networks & Communications,Jadavpur University - India,Indian Institute of Science - Bangalore - India,North Carolina State University - USA,,http://dutta.csc.ncsu.edu/,,,
Sarah Heckman,North Carolina State University,,Teaching,Software Engineering,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,http://people.engr.ncsu.edu/sesmith5/,,,
Steffen Heber,North Carolina State University,2003,Associate,Bioinformatics & Computational Biology,,Ruprecht Karl University of Heidelberg - Germany,Ruprecht Karl University of Heidelberg - Germany,,http://statgen.ncsu.edu/~sheber/,,,
Tiffany Barnes,North Carolina State University,,Associate,Computer Education,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,http://www.csc.ncsu.edu/people/tmbarnes,,,
Ting Yu,North Carolina State University,2003,Associate,Security & Privacy,Peking University - Beijing - China,University of Minnesota - Twin Cities - USA,University of Illinois at Urbana-Champaign - USA,,http://www4.ncsu.edu/~tyu/,,,
Vincent W. Freeh,North Carolina State University,2003,Associate,Real-Time & Embedded Systems,University of Arizona - USA,University of Arizona - USA,University of Arizona - USA,,http://www.csc.ncsu.edu/people/vwfreeh,,,
William Enck,North Carolina State University,2011,Assistant,Operating Systems,Pennsylvania State University - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,http://www.csc.ncsu.edu/people/whenck,,,
William J. Stewart,North Carolina State University,1978,Full,Machine Learning & Pattern Recognition,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,,http://www4.ncsu.edu/~billy/,,,
Xiaohui (Helen) Gu,North Carolina State University,2008,Associate,Real-Time & Embedded Systems,Peking University - Beijing - China,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.csc.ncsu.edu/people/xgu,,,
Xiaosong Ma,North Carolina State University,,Associate,Hardware & Architecture,Peking University - Beijing - China,,University of Illinois at Urbana-Champaign - USA,,https://www.csc.ncsu.edu/people/xma,,,
Xuxian Jiang,North Carolina State University,,Associate,Networks & Communications,,,Purdue University - USA,,http://www.csc.ncsu.edu/people/xjiang4,,,
Abraham H Haddad,Northwestern University,1988,Full,Algorithms & Theory,,,Princeton University - USA,,http://www.ece.northwestern.edu/~ahaddad/ahhbio.html,,,
Aggelos Katsaggelos,Northwestern University,1985,Full,Networks & Communications,Aristotle University of Thessaloniki - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://ivpl.eecs.northwestern.edu/people/akatsaggelos,https://www.mccormick.northwestern.edu/directory/profiles/Aggelos-Katsaggelos.html,,
Alan V Sahakian,Northwestern University,1984,Full,Algorithms & Theory,University of Wisconsin - Parkside - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,http://users.eecs.northwestern.edu/~sahakian/vita/vitapub.pdf,,,
Aleksandar Kuzmanovic,Northwestern University,2005,Associate,Networks & Communications,University of Belgrade - Serbia,University of Belgrade - Serbia,Rice University - USA,,http://www.cs.northwestern.edu/~akuzma/,http://www.cs.northwestern.edu/~akuzma/doc/akuzma/cv-kuzmanovic.pdf,,
Allen Taflove,Northwestern University,1988,Full,Algorithms & Theory,Northwestern University - USA,Northwestern University - USA,Northwestern University - USA,,http://www.ece.northwestern.edu/ecefaculty/Allen1.html,http://www.mccormick.northwestern.edu/directory/profiles/Allen-Taflove.html,,
Alok N Choudhary,Northwestern University,,Full,Computer Vision,Birla Institute of Technology and Science - Pilani - India,University of Massachusetts - Amherst - USA,University of Illinois at Urbana-Champaign - USA,,http://www.ece.northwestern.edu/~choudhar/,,,
Arthur Butz,Northwestern University,,Associate,Scientific Computing,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Minnesota - Twin Cities - USA,,http://archive.adl.org/learn/ext_us/butz.html,https://www.mccormick.northwestern.edu/directory/profiles/Arthur-Butz.html,,
Benjamin Watson,Northwestern University,2006,Associate,Computer Education,University of California - Irvine - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://watson.csc.ncsu.edu/p/bio.html,,,
Brenna D Argall,Northwestern University,2011,Assistant,Artificial Intelligence,Carnegie Mellon University - USA,,Carnegie Mellon University - USA,,http://users.eecs.northwestern.edu/~argall/docs/b.argall_cv_short.pdf,http://www.eecs.northwestern.edu/people/userprofile/bargall2011,,
Bryan Pardo,Northwestern University,2004,Associate,Human-Computer Interaction,Ohio State University - USA,Ohio State University - USA,University of Michigan - USA,,http://segal.northwestern.edu/news-events/events/bryan-pardo-teaching-machines-to-listen.html#.UvbLWGKSxns,,,
Chang Liu,Northwestern University,2007,Full,Bioinformatics & Computational Biology,Tsinghua University - Beijing - China,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois - USA,http://www.mech.northwestern.edu/people/faculty/profiles/liu-chang.html,http://medx.mech.northwestern.edu/about-members/profiles/changliu.html,,
Chi-Haur Wu,Northwestern University,1983,Associate,Computer Vision,National Taiwan University - Taipei - Taiwan,Virginia Polytechnic Institute and State University - USA,Purdue University - USA,,http://users.eecs.northwestern.edu/~chwu/,,,
Christopher Riesbeck,Northwestern University,,Associate,Programming Languages,,,Stanford University - USA,,http://www.cs.northwestern.edu/~riesbeck/,http://www.sesp.northwestern.edu/profile/?p=79&/ChristopherRiesbeck/,,
Chung-Chieh Lee,Northwestern University,,Full,Distributed & Parallel Computing,National Taiwan University - Taipei - Taiwan,Princeton University - USA,Princeton University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Chung-Chieh-Lee.html,,,
Don Norman,Northwestern University,,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,https://www.dropbox.com/s/a8x3lhn0wrrkcz4/Don%20Norman%20Curriculum%20Vitae.doc,http://www.jnd.org/about.html,,
Dongning Guo,Northwestern University,2004,Associate,Software Engineering,University of Science and Technology of China - China,,Princeton University - USA,,http://www.ece.northwestern.edu/~dguo/,http://www.mccormick.northwestern.edu/directory/profiles/Dongning-Guo.html,,
Doug Downey,Northwestern University,2008,Assistant,Natural Language & Speech,Case Western Reserve University - USA,Case Western Reserve University - USA,University of Washington - USA,,http://www.cs.northwestern.edu/~ddowney/downey_CV.pdf,http://www.mccormick.northwestern.edu/directory/profiles/Douglas-Downey.html,,
Fabin E Bustamante,Northwestern University,2008,Associate,Networks & Communications,National University of Patagonia San Juan Bosco - Argentina,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.cs.northwestern.edu/~fabianb/vita/vita.pdf,http://www.mccormick.northwestern.edu/directory/profiles/Fabian-E-Bustamante.html,,
Goce Trajcevski,Northwestern University,2007,Assistant,Algorithms & Theory,University of Sts. Kiril and Metodij - Skopje - Macedonia,University of Illinois at Chicago - USA,University of Illinois at Chicago - USA,Northwestern University - USA,http://www.ece.northwestern.edu/~goce/,,,
Gokhan Memik,Northwestern University,2003,Associate,Hardware & Architecture,Bogaziçi University - Turkey,Northwestern University - USA,University of California - Los Angeles - USA,,http://users.eecs.northwestern.edu/~memik/resu.html,,,
Hai Zhou,Northwestern University,2007,Assistant,Algorithms & Theory,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Texas - Austin - USA,,http://users.eecs.northwestern.edu/~haizhou/,http://www.mccormick.northwestern.edu/directory/profiles/Hai-Zhou.html,http://www.ece.northwestern.edu/~haizhou/cv.pdf,
Haoqi Zhang,Northwestern University,2013,Assistant,Human-Computer Interaction,Harvard University - USA,,Harvard University - USA,,http://segal.northwestern.edu/news-events/events/haoqi-zhang-segal-seminar.html#.UvbNA2JdUfU,http://users.eecs.northwestern.edu/~hq/hq_cv.pdf,,
Hooman Mohseni,Northwestern University,2004,Associate,Bioinformatics & Computational Biology,Amirkabir University of Technology - Iran,Sharif University of Technology - Tehran - Iran,Northwestern University - USA,,http://users.eecs.northwestern.edu/~hmohseni/,,,
Horace Yuen,Northwestern University,,Full,Graphics,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Horace-Yuen.html,,,
Ian Horswill,Northwestern University,,Associate,Artificial Intelligence,University of Minnesota - Twin Cities - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.northwestern.edu/~ian/,https://www.mccormick.northwestern.edu/directory/profiles/Ian-Horswill.html,,
Jack Tumblin,Northwestern University,,Associate,Graphics,Georgia Institute of Technology - USA,University of Southern California - USA,Georgia Institute of Technology - USA,,http://www.cs.northwestern.edu/~jet/Publications/TumblinCV_2009aug.pdf,,,
Jason D Hartline,Northwestern University,2008,Associate,Algorithms & Theory,Cornell University - USA,University of Washington - USA,University of Washington - USA,,http://www.eecs.northwestern.edu/people/userprofile/hartline,https://www.mccormick.northwestern.edu/directory/profiles/Jason-D-Hartline.html,http://www.eecs.northwestern.edu/hartline,
Kenneth D Forbus,Northwestern University,1992,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://spatiallearning.org/index.php/people/silc-members/100-faculty/18-kenneth-forbus,http://wires.wiley.com/WileyCDA/WiresAuthorSpotlight/id-13.html,http://www.cogsci.rpi.edu/pl/issues-cognitive-science-video-archive?vid=85&vgid=5&pageid=509&siteid=26,
Koray Aydin,Northwestern University,2011,Assistant,Hardware & Architecture,Bilkent University - Turkey,,Bilkent University - Turkey,California Institute of Technology - USA,http://users.eecs.northwestern.edu/~aydin/MNDL/People.html,http://users.eecs.northwestern.edu/~aydin/MNDL/People_files/KorayAydin_CVforweb.pdf,http://www.appliedphysics.northwestern.edu/faculty/KorayAydin.html,
Kristian Hammond,Northwestern University,,Full,Artificial Intelligence,Yale University - USA,Yale University - USA,Yale University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Kristian-J-Hammond.html,http://www.mccormick.northwestern.edu/directory/profiles/Kristian-J-Hammond.html,http://infolab.northwestern.edu/people/kristian-hammond/,
Larry Birnbaum,Northwestern University,1989,Full,Natural Language & Speech,Yale University - USA,Yale University - USA,Yale University - USA,,https://www.mccormick.northwestern.edu/directory/profiles/Larry-Birnbaum.html,,,
Lawrence Henschen,Northwestern University,1971,Full,Networks & Communications,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.ece.northwestern.edu/~henschen/,http://www.mccormick.northwestern.edu/directory/profiles/Larry-Henschen.html,http://www.pathwaystoscience.org/profiles.aspx?ind=HenscLawre,
Louis Gomez,Northwestern University,2001,Associate,Computer Education,State University of New York - Stony Brook - USA,,University of California - Berkeley - USA,,http://www.exploratorium.edu/louis-gomez,http://www.carnegiefoundation.org/about-us/staff/louis-gomez,,
Manijeh Razeghi,Northwestern University,1991,Full,Algorithms & Theory,University of Paris - France,University of Paris - France,University of Paris - France,,https://www.mccormick.northwestern.edu/directory/profiles/Manijeh-Razeghi.html,,,
Martin Plonus,Northwestern University,,Full,Networks & Communications,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Michigan - USA,,http://users.eecs.northwestern.edu/~plonus/,http://users.eecs.northwestern.edu/~plonus/cv.html,,
Matthew Grayson,Northwestern University,,Associate,Scientific Computing,University of Notre Dame - USA,,Princeton University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Matthew-Grayson.html,http://eecs.northwestern.edu/people/userprofile/mgrayson2010,http://eecs.northwestern.edu/mgrayson,
Michael Honig,Northwestern University,1994,Full,Networks & Communications,Stanford University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.ece.northwestern.edu/~mh/CV/cv_mh.pdf,http://www.academicroom.com/users/michael-honig,http://www.ece.northwestern.edu/~mh/CV/cv_mh.pdf,
Michael Horn,Northwestern University,2010,Assistant,Computer Education,Brown University - USA,,Tufts University - USA,,http://segal.northwestern.edu/people/profiles/horn-michael.html,http://users.eecs.northwestern.edu/~mhorn/MichaelHornCV.pdf,,
Ming-Yang Kao,Northwestern University,,Full,Algorithms & Theory,National Taiwan University - Taipei - Taiwan,,Yale University - USA,,http://www.cs.northwestern.edu/~kao/,,,
Morteza Amir Rahimi,Northwestern University,1992,Full,Hardware & Architecture,Michigan State University - USA,Michigan State University - USA,University of Iowa - USA,,http://users.eecs.northwestern.edu/~rahimi/,http://users.eecs.northwestern.edu/~rahimi/cv.html,http://www.mccormick.northwestern.edu/directory/profiles/Morteza-Rahimi.html,
Nikos Hardavellas,Northwestern University,2009,Assistant,Distributed & Parallel Computing,University of Crete - Greece,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://users.eecs.northwestern.edu/~hardav/,http://www.mccormick.northwestern.edu/directory/profiles/Nikos-Hardavellas.html,,
Oliver (Ollie) S Cossairt,Northwestern University,2012,Full,Computer Vision,,Massachusetts Institute of Technology - USA,Columbia University - USA,Columbia University - USA,http://www.eecs.northwestern.edu/people/userprofile/ollie,http://w.ece.northwestern.edu/myprofile/userprofile/ollie.html,,
Peter A Dinda,Northwestern University,,Full,Distributed & Parallel Computing,University of Wisconsin - Madison - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.mccormick.northwestern.edu/docs/public_cv/Dinda-Peter-CV.pdf,https://www.mccormick.northwestern.edu/directory/profiles/Peter-Dinda.html,http://www.cs.northwestern.edu/~pdinda/,
Peter Scheuermann,Northwestern University,1979,Full,Databases,Tel Aviv University - Israel,State University of New York - Stony Brook - USA,State University of New York - Stony Brook - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Peter-Scheuermann.html,,,
Prem Kumar,Northwestern University,1986,Full,Scientific Computing,University of Delhi - India,Indian Institute of Technology - Kanpur - India,State University of New York - Buffalo - USA,,http://www.ece.northwestern.edu/~kumarp/,http://www.ece.northwestern.edu/~kumarp/biography.html,http://www.ece.northwestern.edu/~kumarp/Kumar_short_vita_093006.pdf,http://www.appliedphysics.northwestern.edu/faculty/Prem-Kumar.html
Randall Berry,Northwestern University,2000,Full,Networks & Communications,Missouri University of Science and Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.ece.northwestern.edu/~rberry/index.html,http://www.ece.northwestern.edu/~rberry/bio.html,http://www.linkedin.com/pub/randall-berry/6/3b5/229,
Randy Freeman,Northwestern University,1996,Full,Scientific Computing,Cornell University - USA,University of Illinois at Urbana-Champaign - USA,University of California - Santa Barbara - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Randy-Freeman.html,http://users.eecs.northwestern.edu/~freeman/,,
Robby Findler,Northwestern University,,Associate,Programming Languages,Carnegie Mellon University - USA,,Rice University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Robert-Findler.html,,,
Robert P Dick,Northwestern University,,Associate,Real-Time & Embedded Systems,Clarkson University - USA,,Princeton University - USA,,http://robertdick.org/,,,
Russ Joseph,Northwestern University,,Associate,Hardware & Architecture,Carnegie Mellon University - USA,Princeton University - USA,Princeton University - USA,,http://www.ece.northwestern.edu/~rjoseph/,http://www.mccormick.northwestern.edu/directory/profiles/Russ-Joseph.html,,
Seda Ogrenci Memik,Northwestern University,2009,Associate,Computer Education,Bogaziçi University - Turkey,Northwestern University - USA,University of California - Los Angeles - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Seda-Ogrenci-Memik.html,http://www.ece.northwestern.edu/~seda/cv.pdf,,
Selim Shahriar,Northwestern University,,Full,Networks & Communications,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Selim-Shahriar.html,,,
Seng-Tiong Ho,Northwestern University,1991,Full,Networks & Communications,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://users.eecs.northwestern.edu/~sth/Professor.htm,http://www.mccormick.northwestern.edu/directory/profiles/Seng-Tiong-Ho.html,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&ved=0CDAQFjAB&url=http%3A%2F%2Fwww.mse.ntu.edu.tw%2F~frontier%2FprofileE1.htm&ei=dg33UoDQKoXrrQfM0oC4Dg&usg=AFQjCNEjYJ1zyfXRo56bSKVueTmmeiySkA&sig2=OsWENXtyfctmFsxf228KFg&bvm=bv.60983673,d.bmk",
Thrasyvoulos N Pappas,Northwestern University,1999,Full,Graphics,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://users.eecs.northwestern.edu/~pappas/,http://users.eecs.northwestern.edu/~pappas/pappas_bio.html,,
Tom Hinrichs,Northwestern University,2002,Research,Artificial Intelligence,Cornell University - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://www.tomhinrichs.com/,,,
Uri Wilensky,Northwestern University,,Full,Computer Education,Brandeis University - USA,Brandeis University - USA,Massachusetts Institute of Technology - USA,,http://www.sesp.northwestern.edu/profile/?p=89,,,
Wei-Chung Lin,Northwestern University,,Associate,Computer Vision,National Taiwan University - Taipei - Taiwan,Michigan State University - USA,Purdue University - USA,,http://www.mccormick.northwestern.edu/directory/profiles/Wei-Chung-Lin.html,,,
Yan Chen,Northwestern University,,Associate,Networks & Communications,Zhejiang University - Hangzhou - China,State University of New York - Stony Brook - USA,University of California - Berkeley - USA,,http://www.cs.northwestern.edu/~ychen/http://www.cs.northwestern.edu/~ychen/cv.pdf,,,
Ying Wu,Northwestern University,2001,Full,Computer Vision,Huazhong University of Science and Technology - China,Tsinghua University - Beijing - China,University of Illinois at Urbana-Champaign - USA,,http://www.ece.northwestern.edu/~yingwu/,,,
Anastasios Sidiropoulos,Ohio State University,2013,Assistant,Algorithms & Theory,,,Massachusetts Institute of Technology - USA,,http://www.cse.ohio-state.edu/~tasos/,,,
Anish Arora,Ohio State University,2002,Full,Distributed & Parallel Computing,Indian Institute of Technology - Delhi - India,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://www.cse.ohio-state.edu/~anish/cv.pdf,,,
Arnab Nandi,Ohio State University,2012,Assistant,Databases,University of Delhi - India,,University of Michigan - USA,,http://arnab.org/,,,
Atanas Rountev,Ohio State University,2002,Associate,Software Engineering,Technical University of Sofia - Bulgaria,,Rutgers - State University of New Jersey - New Brunswick - USA,,http://www.cse.ohio-state.edu/~rountev/presto/nasko/CV.pdf,,,
Brian Kulis,Ohio State University,2012,Assistant,Machine Learning & Pattern Recognition,Cornell University - USA,,University of Texas - Austin - USA,University of California - Berkeley - USA,http://www.cse.ohio-state.edu/~kulis/cv.pdf,,,
Christopher Stewart,Ohio State University,2009,Assistant,Distributed & Parallel Computing,Morehouse College - USA,University of Rochester - USA,University of Rochester - USA,,http://www.cse.ohio-state.edu/~cstewart/,,,
Chunyi Peng,Ohio State University,2013,Assistant,Networks & Communications,Tsinghua University - Beijing - China,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cse.ohio-state.edu/~chunyi/,,,
