Name;ReleaseDate;Action;Adventure;Children;Comedy;Crime;Documentary;Drama;Fantasy;Noir;Horror;Musical;Mystery;Romance;SciFi;Thriller;War;Western;AvgRating;Watches
Larger Than Life;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.51;47
Boy Called Hate, A;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1
Power 98;1995;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;6
Two Deaths;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Very Brady Sequel, A;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.56;189
Stefano Quantestorie;1993;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Death in the Garden (Mort en ce jardin, La);1956;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.25;4
The Crude Oasis;1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2
Hedd Wyn;1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Collectionneuse, La;1967;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.25;4
Kaspar Hauser;1993;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.93;28
Echte Kerle;1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
Diebinnen;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
The Convent (Convento, O);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2
The Adventures of Pinocchio;1996;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.91;54
Joe's Apartment;1996;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2.29;131
The First Wives Club;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.95;295
Stonewall;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.85;20
Ransom;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.48;564
High School High;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.18;78
Phat Beach;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Foxfire;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.13;103
Chain Reaction;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.65;237
Matilda;1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48;218
Emma;1996;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.88;501
The Crow: City of Angels;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.21;135
House Arrest;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.56;50
Eyes Without a Face;1959;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3.4;25
Tales from the Crypt Presents: Bordello of Blood;1996;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.59;151
Lotto Land;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
The Story of Xinghua;1993;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.57;7
The Day the Sun Turned Cold (Tianguo niezi);1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Flirt;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.74;38
The Big Squeeze;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1.86;7
The Spitfire Grill;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.44;156
Escape from L.A.;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.51;511
Cyclo;1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.67;30
Basquiat;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5;127
Tin Cup;1996;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.22;615
Dingo;1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;3
The Ballad of Narayama (Narayama Bushiko);1958;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.63;8
Every Other Weekend;1990;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Mille bolle blu;1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Crows and Sparrows;1949;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
The Godfather;1972;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4.52;2223
The Hippie Revolution;1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1
Maybe, Maybe Not (Bewegte Mann, Der);1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;10
Supercop;1992;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.51;273
Manny & Lo;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.65;31
Celestial Clockwork;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;10
The Wife;1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.58;12
Small Faces;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1
Bound;1996;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;3.82;572
Carpool;1996;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2.21;24
Death in Brunswick;1991;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
Kansas City;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.1;42
Gone Fishin';1997;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.18;49
Lover's Knot;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Aiqing wansui;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1
Shadow of Angels (Schatten der Engel);1976;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Killer: A Journal of Murder;1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.13;8
Nothing to Lose;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.39;44
Police Story 4: Project S (Chao ji ji hua);1993;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;21
Girls Town;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.29;24
Bye-Bye;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1
The Relic;1997;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2.83;237
The Island of Dr. Moreau;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.2;324
First Kid;1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.62;77
The Trigger Effect;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.71;59
Sweet Nothing;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;2
Bogus;1996;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2.58;43
Bulletproof;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.94;104
Talk of Angels;1998;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.5;2
Land Before Time III: The Time of the Great Giving;1995;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.21;48
1-900;1994;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.5;2
Baton Rouge;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.5801;0
Halloween: The Curse of Michael Myers;1995;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2.36;183
Twelfth Night;1996;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.86;152
Mother Night;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;69
Liebelei;1933;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
Venice/Venice;1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
Wild Reeds;1994;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.43;51
For Whom the Bell Tolls;1943;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.76;98
The Philadelphia Story;1940;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.3;582
Singin' in the Rain;1952;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4.28;751
American in Paris, An;1951;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3.85;343
Funny Face;1957;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.64;174
Breakfast at Tiffany's;1961;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.91;676
Vertigo;1958;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.27;905
Rear Window;1954;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.48;1050
It Happened One Night;1934;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.28;374
Gaslight;1944;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;4.1;187
The Gay Divorcee;1934;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3.92;105
North by Northwest;1959;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4.38;1315
The Apartment;1960;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4.13;417
Some Like It Hot;1959;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4.3;832
Charade;1963;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;4.18;306
Casablanca;1942;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;4.41;1669
The Maltese Falcon;1941;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4.4;1043
My Fair Lady;1964;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4.15;636
Sabrina;1954;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.96;365
Roman Holiday;1953;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.22;425
The Little Princess;1939;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.68;77
Meet Me in St. Louis;1944;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.79;189
The Wizard of Oz;1939;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4.25;1718
Gone with the Wind;1939;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;4;1156
My Favorite Year;1982;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.89;302
Sunset Blvd. (a.k.a. Sunset Boulevard);1950;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4.49;470
Citizen Kane;1941;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.39;1116
2001: A Space Odyssey;1968;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;4.07;1716
Golden Earrings;1947;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.25;12
All About Eve;1950;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.26;403
The Women;1939;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.98;84
Rebecca;1940;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;4.2;386
Foreign Correspondent;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.78;93
Notorious;1946;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;4.29;445
Spellbound;1945;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3.91;206
Affair to Remember, An;1957;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.95;189
To Catch a Thief;1955;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;4.1;443
Father of the Bride;1950;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.66;304
The Band Wagon;1953;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.63;71
Ninotchka;1939;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4.08;132
Love in the Afternoon;1957;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.75;44
Gigi;1958;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.62;187
The Reluctant Debutante;1958;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.18;11
The Adventures of Robin Hood;1938;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.97;378
The Mark of Zorro;1940;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7;105
Laura;1944;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;4.2;292
The Ghost and Mrs. Muir;1947;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.98;171
Lost Horizon;1937;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.79;97
Top Hat;1935;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;4.15;251
To Be or Not to Be;1942;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;3.85;161
My Man Godfrey;1936;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.11;188
Giant;1956;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.75;130
East of Eden;1955;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.98;215
The Thin Man;1934;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4.24;292
His Girl Friday;1940;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;397
Around the World in 80 Days;1956;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;269
It's a Wonderful Life;1946;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.3;729
Mr. Smith Goes to Washington;1939;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.24;383
Bringing Up Baby;1938;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.17;413
Penny Serenade;1941;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.55;40
The Scarlet Letter;1926;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.24;37
Lady of Burlesque;1943;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3.38;13
Of Human Bondage;1934;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.74;58
Angel on My Shoulder;1946;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.45;20
Little Lord Fauntleroy;1936;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.48;23
They Made Me a Criminal;1939;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.55;11
The Inspector General;1949;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.57;54
Angel and the Badman;1947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.39;51
The 39 Steps;1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.08;253
Walk in the Sun, A;1945;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;6
The Outlaw;1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.26;23
Night of the Living Dead;1968;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3.67;715
The African Queen;1951;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4.25;1057
Beat the Devil;1954;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.41;37
Cat on a Hot Tin Roof;1958;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.05;271
The Last Time I Saw Paris;1954;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.17;6
Meet John Doe;1941;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.91;82
Algiers;1938;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.75;16
Something to Sing About;1937;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1.5;2
Farewell to Arms, A;1932;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3.57;56
Moonlight Murder;1936;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;2
The Blue Angel (Blaue Engel, Der);1930;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;100
Nothing Personal;1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.5801;0
In the Line of Duty 2;1987;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8;5
Dangerous Ground;1997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.75;4
Picnic;1955;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.68;81
Madagascar Skin;1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5801;0
The Pompatus of Love;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.67;33
Small Wonders;1996;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.75;4
Fly Away Home;1996;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.6;232
Bliss;1997;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.9;40
Grace of My Heart;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.38;69
Schlafes Bruder (Brother of Sleep);1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;1
Maximum Risk;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.57;54
Michael Collins;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.52;170
The Rich Man's Wife;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.6;20
Infinity;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.11;9
Big Night;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.1;450
Last Man Standing;1996;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2.91;256
Caught;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.36;28
Set It Off;1996;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.01;93
2 Days in the Valley;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.28;286
Curdled;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.05;20
The Associate (L'Associe)(1982);1982;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
Ed's Next Move;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;8
Extreme Measures;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2.94;121
The Glimmer Man;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.66;101
D3: The Mighty Ducks;1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.37;142
The Chamber;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.09;78
The Apple Dumpling Gang;1975;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2.98;232
Davy Crockett, King of the Wild Frontier;1955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3.33;97
Escape to Witch Mountain;1975;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.19;291
The Love Bug;1969;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.27;242
Herbie Rides Again;1974;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.73;135
Old Yeller;1957;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;301
The Parent Trap;1961;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.57;258
Pollyanna;1960;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.4;136
Homeward Bound: The Incredible Journey;1993;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.35;234
The Shaggy Dog;1959;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.22;156
Swiss Family Robinson;1960;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.59;276
That Darn Cat!;1965;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3.25;123
20,000 Leagues Under the Sea;1954;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3.7;575
Cool Runnings;1993;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.24;392
Angels in the Outfield;1994;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.77;247
Cinderella;1950;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.76;577
Winnie the Pooh and the Blustery Day;1968;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.99;221
The Three Caballeros;1945;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.25;126
The Sword in the Stone;1963;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.61;293
So Dear to My Heart;1949;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.63;8
Robin Hood: Prince of Thieves;1991;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.16;344
Mary Poppins;1964;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.89;1011
Dumbo;1941;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.69;568
Pete's Dragon;1977;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.08;323
Bedknobs and Broomsticks;1971;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.48;319
Alice in Wonderland;1951;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.7;525
The Fox and the Hound;1981;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.45;287
Freeway;1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3.64;169
The Sound of Music;1965;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.93;882
Die Hard;1988;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4.12;1666
The Lawnmower Man;1992;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2.66;615
Unhook the Stars;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.27;11
Synthetic Pleasures;1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3.67;3
The Secret Agent;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;5
Secrets & Lies;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4.04;474
That Thing You Do!;1996;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.48;528
To Gillian on Her 37th Birthday;1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2.84;108
Surviving Picasso;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.29;35
Love Is All There Is;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Beautiful Thing;1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.07;90
The Long Kiss Goodnight;1996;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.48;434
The Ghost and the Darkness;1996;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;451
Looking for Richard;1996;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3.82;146
Trees Lounge;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.42;98
The Proprietor;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.5801;0
Normal Life;1996;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2.91;35
Get on the Bus;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.31;81
Shadow Conspiracy;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.74;19
Jude;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;50
Everyone Says I Love You;1996;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3.56;274
Bitter Sugar (Azucar Amargo);1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.27;11
William Shakespeare's Romeo and Juliet;1996;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.4;479
Swingers;1996;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.94;786
Sleepers;1996;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3.55;374
The Sunchaser;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.5;2
Johns;1996;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.15;26
Aladdin and the King of Thieves;1996;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;209
The Woman in Question;1950;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3.5801;0
Shall We Dance?;1937;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;4.17;175
Damsel in Distress, A;1937;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;3.78;23
Crossfire;1947;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3.69;35
Murder, My Sweet;1944;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;3.93;110
Macao;1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2
For the Moment;1994;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3.4;5
Willy Wonka and the Chocolate Factory;1971;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3.86;1313
The Sexual Life of the Belgians;1994;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5801;0
The Innocents;1961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;23
Sleeper;1973;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;3.98;744
Bananas;1971;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3.84;372
Fish Called Wanda, A;1988;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.97;1326
Monty Python's Life of Brian;1979;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.02;926
Victor/Victoria;1982;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.62;434
The Candidate;1972;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;154
The Great Race;1965;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3.53;164
Bonnie and Clyde;1967;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4.1;686
