date,session,number,bill,question,result,description,yeatotal,naytotal 
2011-09-22,1,146,H.R. 2832,On the Amendment S.Amdt. 651,Rejected,"Rubio Amdt. No. 651; To limit eligibility for trade adjustment assistance to workers who are laid off because of an increase in imports from, or a shift in production to, a country with which the United States has a free trade agreement in effect.",34,62 
2011-09-22,1,147,H.R. 2832,On the Amendment S.Amdt. 650,Rejected,Thune Amdt. No. 650; To require a report on the consequences of failing to act on trade agreements.,44,52 
2011-09-22,1,148,H.R. 2832,On the Amendment S.Amdt. 634,Rejected,Cornyn Amdt. No. 634; To provide Taiwan with critically needed United States-built multirole fighter aircraft to strengthen its self-defense capability against the increasing military threat from China.,48,48 
2011-09-22,1,149,H.R. 2832,On the Amendment S.Amdt. 633,Agreed to,Casey Amdt. No. 633; To extend and modify trade adjustment assistance.,69,28 
2011-09-22,1,150,H.R. 2832,On Passage of the Bill,Passed,"H.R. 2832 as Amended; A bill to extend the Generalized System of Preferences, and for other purposes.",70,27 
2011-09-23,1,151,H.R. 2608,On the Motion to Table S.Amdt. 655,Agreed to,Motion to Table the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2608 with an Amendment No. 655; To provide continuing appropriations in fiscal year 2011 and additional appropriations for disaster relief in fiscal years 2011 and 2012.,59,36 
2011-09-26,1,152,H.R. 2608,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to the Senate Amdt. with an Amdt. No. 656; An Act making continuing appropriations for fiscal year 2012, and for other purposes.",54,35 
2011-09-26,1,153,H.R. 2608,On the Motion,Agreed to,"Motion to Concur in the House Amdt. to the Senate Amdt. with an Amdt. No. 665; An Act making continuing appropriations for fiscal year 2012, and for other purposes.",79,12 
2011-10-03,1,154,PN90,On the Nomination,Confirmed,"Confirmation Henry F. Floyd, of South Carolina, to be United States Circuit Judge for the Fourth Circuit",96,0 
2011-10-03,1,155,S. 1619,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to Consider S. 1619.; A bill to provide for identification of misaligned currency, require action to correct the misalignment, and for other purposes.",79,19 
2011-10-06,1,156,S. 1619,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S. 1619; A bill to provide for identification of misaligned currency, require action to correct the misalignment, and for other purposes.",62,38 
2011-10-06,1,157,S. 1619,On the Decision of the Chair,Not Sustained,"Shall the Decision of the Chair Stand as the Judgment of the Senate; A bill to provide for identification of misaligned currency, require action to correct the misalignment, and for other purposes.",48,51 
2011-10-11,1,158,PN350,On the Nomination,Confirmed,"Confirmation Jane Margaret Triche-Milazzo, of Louisiana, to be U.S. District Judge.",98,0 
2011-10-11,1,159,S. 1619,On Passage of the Bill,Passed,"S.1619; A bill to provide for identification of misaligned currency, require action to correct the misalignment, and for other purposes.",63,35 
2011-10-11,1,160,S. 1660,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Motion to Proceed to S. 1660; A bill to provide tax relief for American workers and businesses, to put workers back on the job while rebuilding and modernizing America, and to provide pathways back to work for Americans looking for jobs.",50,49 
2011-10-12,1,161,H.R. 3080,On Passage of the Bill,Passed,H.R. 3080; A bill to implement the United States-Korea Free Trade Agreement.,83,15 
2011-10-12,1,162,H.R. 3079,On Passage of the Bill,Passed,H.R. 3079; A bill to implement the United States-Panama Trade Promotion Agreement.,77,22 
2011-10-12,1,163,H.R. 3078,On Passage of the Bill,Passed,H.R. 3078; A bill to implement the United States-Colombia Trade Promotion Agreement.,66,33 
2011-10-13,1,164,PN375,On the Nomination,Confirmed,"Alison J. Nathan, of New York, to be United States District Judge",48,44 
2011-10-13,1,165,PN399,On the Nomination,Confirmed,"Susan Owens Hickey, of Arkansas, to be United States District Judge",83,8 
2011-10-17,1,166,PN11,On the Nomination,Confirmed,"Confirmation Cathy Bissoon, of Pennsylvania, to be United States District Judge",82,3 
2011-10-18,1,167,H.R. 2112,On the Amendment S.Amdt. 775,Agreed to,"Cornyn Amendment No. 775, As Modified; To prohibit funding for Operation Fast and Furious or similar ""gun walking"" programs.",99,0 
2011-10-18,1,168,H.R. 2112,On the Amendment S.Amdt. 740,Rejected,McCain Amendment No. 740; To eliminate funding for the trade adjustment assistance for firms program.,44,55 
2011-10-19,1,169,PN30,On the Nomination,Confirmed,"Confirmation Robert David Mariani, of Pennsylvania, to be United States District Judge",82,17 
2011-10-19,1,170,H.R. 2112,On the Motion to Table S.Amdt. 739,Agreed to,"Motion to Table McCain Amdt. No. 739; To ensure that the critical surface transportation needs of the United States are made a priority by prohibiting funds from being used on lower-priority projects, such as transportation museums and landscaping.",59,39 
2011-10-20,1,171,PN154,On the Nomination,Confirmed,"Confirmation Heather A. Higginbottom, of D.C., to be Deputy Director of the Office of Management and Budget",64,36 
2011-10-20,1,172,H.R. 2112,On the Amendment S.Amdt. 769,Rejected,Vitter Amdt. No. 769 As Modified; To prohibit the Food and Drug Administration from preventing an individual not in the business of importing a prescription drug from importing an FDA-approved prescription drug from Canada.,45,55 
2011-10-20,1,173,H.R. 2112,On the Amendment S.Amdt. 750,Rejected,Webb Amdt. No. 750 As Modified; To establish the National Criminal Justice Commission.,57,43 
2011-10-20,1,174,H.R. 2112,On the Amendment S.Amdt. 879,Rejected,"Merkley Amdt. No. 879 As Modified; To prohibit amounts appropriated under this Act to carry out parts A and B of subtitle V of title 49, United States Code, from being expended unless all the steel, iron, and manufactured products used in the project are produced in the United States.",55,44 
2011-10-20,1,175,H.R. 2112,On the Amendment S.Amdt. 860,Rejected,Grassley Amdt. No. 860; To ensure accountability in Federal grant programs administered by the Department of Justice.,46,54 
2011-10-20,1,176,PN677,On the Nomination,Confirmed,"Confirmation John Edgar Bryson, of California, to be Secretary of Commerce",74,26 
2011-10-20,1,177,S. 1723,On Cloture on the Motion to Proceed,Rejected,Motion to Invoke Cloture on the Motion to Proceed to S. 1723; A bill to provide for teacher and first responder stabilization.,50,50 
2011-10-20,1,178,S. 1726,On Cloture on the Motion to Proceed,Rejected,Motion to Invoke Cloture on the Motion to Proceed to S. 1726; A bill to repeal the imposition of withholding on certain payments made to vendors by government entities.,57,43 
2011-10-20,1,179,H.R. 2112,On the Amendment S.Amdt. 917,Rejected,Vitter Amdt. No. 917; To reestablish the maximum aggregate amount permitted to be provided by the taxpayers to Fannie Mae and Freddie Mac.,41,57 
2011-10-20,1,180,H.R. 2112,On the Amendment S.Amdt. 857,Agreed to,"Menendez Amdt. No. 857; To extend loan limits for programs of the government-sponsored enterprises, the Federal Housing Administration, and the Veterans Affairs Administration, and for other purposes.",60,38 
2011-10-20,1,181,H.R. 2112,On the Amendment S.Amdt. 869,Agreed to,Gillibrand Amdt. No. 869; To increase funding for the emergency conservation program and the emergency watershed protection program.,58,41 
2011-10-20,1,182,H.R. 2112,On the Amendment S.Amdt. 810,Rejected,Sessions Amdt. No. 810; To prohibit the use of funds to allow categorical eligibility for the supplemental nutrition assistance program.,41,58 
2011-10-21,1,183,H.R. 2112,On the Amendment S.Amdt. 791,Agreed to,"Coburn Amdt. No. 791; To prohibit the use of funds to provide direct payments to persons or legal entities with an average adjusted gross income in excess of $1,000,000.",84,15 
2011-10-21,1,184,H.R. 2112,On the Amendment S.Amdt. 792,Rejected,"Coburn Amdt. No. 792, As Modified; To end payments to landlords who are endangering the lives of children and needy families.",59,40 
2011-10-21,1,185,H.R. 2112,On the Amendment S.Amdt. 796,Agreed to,Coburn Amdt. No. 796; To end lending schemes that force taxpayers to repay the loans of delinquent developers and bailout failed or poorly planned local projects.,73,26 
2011-10-21,1,186,H.R. 2112,On the Amendment S.Amdt. 753,Rejected,Ayotte Amdt. No. 753; To prohibit the use of funds for the prosecution of enemy combatants in Article III courts of the United States.,47,52 
2011-10-21,1,187,H.R. 2112,On the Cloture Motion S.Amdt. 738,Agreed to,Motion to Invoke Cloture on the Inouye Amdt. No. 738; In the nature of a substitute.,82,16 
2011-10-31,1,188,PN511,On the Nomination,Confirmed,"Confirmation Stephen A. Higginson, of Louisiana, to be U.S. Circuit Judge",88,0 
2011-11-01,1,189,H.R. 2112,On the Amendment S.Amdt. 800,Rejected,Coburn Amdt. No. 800; To reduce funding for the Rural Development Agency.,13,85 
2011-11-01,1,190,H.R. 2112,On the Amendment S.Amdt. 821,Rejected,Paul Amdt. No. 821; To reallocate 10 percent of the amounts appropriated for capital investments in surface transportation infrastructure from transportation enhancement activities to the highway bridge program.,38,60 
2011-11-01,1,191,H.R. 2112,On the Amendment S.Amdt. 763,Rejected,DeMint Amdt. No. 763; To prohibit the use of funds to implement regulations regarding the removal of essential-use designation for epinephrine used in oral pressurized metered-dose inhalers.,44,54 
2011-11-01,1,192,H.R. 2112,On the Amendment S.Amdt. 801,Rejected,Coburn Amdt No.801; To eliminate funding for the Small Community Air Service Development Program.,41,57 
2011-11-01,1,193,H.R. 2112,On the Motion to Recommit,Rejected,"Lee Motion to Recommit H.R. 2112 to the Committee on Appropriations; An act making consolidated appropriations for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development, and related programs for the fiscal year ending September 30, 2012, and for other purposes.",39,60 
2011-11-01,1,194,H.R. 2112,On Passage of the Bill,Passed,"H.R. 2112 as Amended; An act making consolidated appropriations for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development, and related programs for the fiscal year ending September 30, 2012, and for other purposes.",69,30 
2011-11-03,1,195,S. 1769,On the Motion to Proceed,Rejected,Motion to Proceed to Consider S. 1769; A bill to put workers back on the job while rebuilding and modernizing America.,51,49 
2011-11-03,1,196,S. 1786,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. 1786; A bill to facilitate job creation by reducing regulatory uncertainty, providing for rational evaluation of regulations, providing flexibilities to States and localities, providing for infrastructure spending, and for other purposes.",47,53 
2011-11-03,1,197,PN261,On the Nomination,Confirmed,"Scott Wesley Skavdahl, of Wyoming, to be U.S. District Judge",96,0 
2011-11-07,1,198,H.R. 674,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to H.R. 674; To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities, to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs, and for other purposes.",94,1 
2011-11-08,1,199,PN856,On the Nomination,Confirmed,"Evan Jonathan Wallach, of New York, to be United States Circuit Judge",99,0 
2011-11-10,1,200,S.J.Res. 6,On the Motion to Proceed,Rejected,Motion to Proceed to S. J. Res. 6; A joint resolution disapproving the rule submitted by the Federal Communications Commission with respect to regulating the Internet and broadband industry practices.,46,52 
2011-11-10,1,201,S.J.Res. 27,On the Motion to Proceed,Rejected,Motion to Proceed to S.J.Res. 27; A joint resolution disapproving a rule submitted by the Environmental Protection Agency relating to the mitigation by States of cross-border air pollution under the Clean Air Act.,41,56 
2011-11-10,1,202,H.R. 674,On the Amendment S.Amdt. 928,Rejected,McCain Amdt. No. 928; To provide American jobs through economic growth.,40,56 
2011-11-10,1,203,H.R. 674,On the Amendment S.Amdt. 927,Agreed to,"Tester Amdt. No. 927, As Modified; To amend the Internal Revenue Code of 1986 to permit a 100 percent levy for payments to Federal vendors relating to property, to require a study on how to reduce the amount of Federal taxes owed but not paid by Federal contractors, and to make certain improvements in the laws relating to the employment and training of veterans.",94,1 
2011-11-10,1,204,H.R. 674,On Passage of the Bill,Passed,"H.R. 674 As Amended; To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities, to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs, and for other purposes.",95,0 
2011-11-10,1,205,H.R. 2354,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to Consider H.R. 2354; A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",81,14 
2011-11-15,1,206,PN398,On the Nomination,Confirmed,"Confirmation Sharon L. Gleason, of Alaska, to be U.S. District Judge",87,8 
2011-11-15,1,207,PN469,On the Nomination,Confirmed,"Confirmation Yvonne Gonzalez Rogers, of California, to be U.S. District Judge",89,6 
2011-11-17,1,208,H.R. 2112,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2112; An act making consolidated appropriations for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development, and related programs for the fiscal year ending September 30, 2012, and for other purposes.",70,30 
2011-11-28,1,209,PN465,On the Nomination,Confirmed,"Confirmation Christopher Droney, of Connecticut, to be United States Circuit Judge for the Second Circuit",88,0 
2011-11-29,1,210,S. 1867,On the Amendment S.Amdt. 1107,Rejected,Udall (CO) Amdt. No. 1107; To revise the provisions relating to detainee matters.,38,60 
2011-11-29,1,211,S. 1867,On the Amendment S.Amdt. 1064,Rejected,Paul Amdt. No. 1064; To repeal the Authorization for the Use of Military Force Against Iraq Resolution of 2002.,30,67 
2011-11-30,1,212,S. 1867,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on S. 1867; An original bill to authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",88,12 
2011-12-01,1,213,S. 1867,On the Amendment S.Amdt. 1125,Rejected,Feinstein Amdt. No. 1125; To clarify the applicability of requirements for military custody with respect to detainees.,45,55 
2011-12-01,1,214,S. 1867,On the Amendment S.Amdt. 1126,Rejected,Feinstein Amdt. No. 1126; To limit the authority of the Armed Forces to detain citizens of the United States under section 1031.,45,55 
2011-12-01,1,215,S. 1867,On the Amendment S.Amdt. 1456,Agreed to,Feinstein Amdt. No. 1456; Of a perfecting nature.,99,1 
2011-12-01,1,216,S. 1867,On the Amendment S.Amdt. 1414,Agreed to,"Menendez Amdt. No. 1414; To require the imposition of sanctions with respect to the financial sector of Iran, including the Central Bank of Iran.",100,0 
2011-12-01,1,217,S. 1867,On the Amendment S.Amdt. 1274,Rejected,Sessions Amdt. No. 1274; To clarify the disposition under the law of war of persons detained by the Armed Forces of the United States pursuant to the Authorization for Use of Military Force.,41,59 
2011-12-01,1,218,S. 1867,On Passage of the Bill,Passed,"S. 1867 As Amended; An original bill to authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",93,7 
2011-12-01,1,219,S. 1917,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. 1917; A bill to create jobs by providing payroll tax relief for middle class families and businesses, and for other purposes.",51,49 
2011-12-01,1,220,S. 1931,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider S. 1931; A bill to provide civilian payroll tax relief, to reduce the Federal budget deficit, and for other purposes.",20,78 
2011-12-05,1,221,PN470,On the Nomination,Confirmed,"Confirmation Edgardo Ramos, of Connecticut, to be U.S. District Judge for the Southern District of New York",89,0 
2011-12-06,1,222,PN5,On the Cloture Motion,Rejected,"Cloture on the Nomination of Caitlin Joan Halligan, of New York, to be U.S. Circuit Judge",54,45 
2011-12-08,1,223,PN784,On the Cloture Motion,Rejected,"Cloture on the Nomination of Richard Cordray, of Ohio, to be Director, Bureau of Consumer Financial Protection",53,45 
2011-12-08,1,224,S. 1944,On the Motion to Proceed,Rejected,"Motion to Proceed to S. 1944; A bill to create jobs by providing payroll tax relief for middle class families and businesses, and for other purposes.",50,48 
2011-12-08,1,225,S. 1931,On the Motion to Proceed,Rejected,"Motion to Proceed to S. 1931; A bill to provide civilian payroll tax relief, to reduce the Federal budget deficit, and for other purposes.",22,76 
2011-12-12,1,226,PN113,On the Cloture Motion,Agreed to,"Cloture on the Nomination of Norman L. Eisen, of the District of Columbia, to be Ambassador to the Czech Republic",70,16 
2011-12-12,1,227,PN267,On the Cloture Motion,Rejected,"Cloture on the Nomination of Mari Carmen Aponte, of the District of Columbia, to be Ambassador to the Republic of El Salvador",49,37 
2011-12-14,1,228,S.J.Res. 24,On the Joint Resolution,Rejected,S.J.Res. 24; Joint resolution proposing a balanced budget amendment to the Constitution of the United States.,21,79 
2011-12-14,1,229,S.J.Res. 10,On the Joint Resolution,Rejected,S.J.Res. 10; Joint resolution proposing a balanced budget amendment to the Constitution of the United States.,47,53 
2011-12-15,1,230,H.R. 1540,On the Conference Report,Agreed to,"Conference Report To Accompany H.R. 1540; To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",86,13 
2011-12-15,1,231,PN555,On the Nomination,Confirmed,"Confirmation Morgan Christen, of Alaska, to be U.S. Circuit Judge",95,3 
2011-12-17,1,232,H.R. 3630,On the Amendment S.Amdt. 1465,Agreed to,Reid-McConnell Amdt. No. 1465; In the nature of a substitute.,89,10 
2011-12-17,1,233,H.R. 3672,On Passage of the Bill,Passed,"H.R. 3672; A bill making appropriations for disaster relief requirements for the fiscal year ending September 30, 2012, and for other purposes.",72,27 
2011-12-17,1,234,H.Con.Res. 94,On the Concurrent Resolution,Rejected,H. Con. Res. 94; A concurrent resolution directing the Clerk of the House of Representatives to make corrections in the enrollment of H.R. 3672.,43,56 
2011-12-17,1,235,H.R. 2055,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2055; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.",67,32 
2012-01-23,2,1,PN468,On the Nomination,Confirmed,"Confirmation John M. Gerrard, of Nebraska, to be U.S. District Judge for the District of Nebraska",74,16 
2012-01-26,2,2,H.J.Res. 98,On the Motion to Proceed,Rejected,"Motion to Proceed to Consider H.J. Res. 98; A joint resolution relating to the disapproval of the President's exercise of authority to increase the debt limit, as submitted under section 3101A of title 31, United States Code, on January 12, 2012.",44,52 
2012-01-30,2,3,S. 2038,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to Consider S. 2038; An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.",93,2 
2012-02-02,2,4,S. 2038,On the Amendment S.Amdt. 1484,Rejected,"Paul Amdt. No. 1484; To require Members of Congress to certify that they are not trading using material, non-public information.",37,61 
2012-02-02,2,5,S. 2038,On the Amendment S.Amdt. 1487,Rejected,"Paul Amdt. No. 1487; To prohibit executive branch appointees or staff holding positions that give them oversight, rule-making, loan or grant-making abilities over industries or companies in which they or their spouse have a significant financial interest.",48,51 
2012-02-02,2,6,S. 2038,On the Amendment S.Amdt. 1511,Agreed to,Lieberman Amdt. No. 1511; To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,81,18 
2012-02-02,2,7,S. 2038,On the Amendment S.Amdt. 1491,Agreed to,Shelby Amdt. No. 1491 As Modified; To extend the STOCK Act to ensure that the reporting requirements set forth in the STOCK Act apply to the executive branch and independent agencies.,58,41 
2012-02-02,2,8,S. 2038,On the Amendment S.Amdt. 1472,Rejected,Toomey Amdt. No. 1472; To prohibit earmarks.,40,59 
2012-02-02,2,9,S. 2038,On the Amendment S.Amdt. 1500,Rejected,Inhofe Amdt. No. 1500; To prohibit unauthorized earmarks.,26,73 
2012-02-02,2,10,S. 2038,On the Amendment S.Amdt. 1473,Rejected,Coburn Amdt. No. 1473; To prevent the creation of duplicative and overlapping Federal programs.,60,39 
2012-02-02,2,11,S. 2038,On the Amendment S.Amdt. 1488,Rejected,DeMint Amdt. No. 1488; To express the sense of the Senate that the Senate should pass a joint resolution proposing an amendment to the Constitution that limits the number of terms a Member of Congress may serve.,24,75 
2012-02-02,2,12,S. 2038,On the Amendment S.Amdt. 1493,Agreed to,Grassley Amdt. No. 1493; To require disclosure of political intelligence activities under Lobbying Disclosure Act of 1995.,60,39 
2012-02-02,2,13,S. 2038,On the Amendment S.Amdt. 1481,Rejected,Brown (OH) Amdt. No. 1481 As Modified; To prohibit financial conflicts of interest by Senators and staff.,26,73 
2012-02-02,2,14,S. 2038,On Passage of the Bill,Passed,"S. 2038 As Amended; An original bill to prohibit Members of Congress and employees of Congress from using nonpublic information derived from their official positions for personal benefit, and for other purposes.",96,3 
2012-02-06,2,15,H.R. 658,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 658; A bill to amend title 49, United States Code, to authorize appropriations for the Federal Aviation Administration for fiscal years 2011 through 2014, to streamline programs, create efficiencies, reduce waste, and improve aviation safety and capacity, to provide stable funding for the national aviation system, and for other purposes.",75,20 
2012-02-09,2,16,PN524,On the Nomination,Confirmed,"Confirmation Cathy Ann Bencivengo, of California, to be U.S. District Judge",90,6 
2012-02-09,2,17,S. 1813,On Cloture on the Motion to Proceed,Agreed to,"Motion to Invoke Cloture on the Motion to Proceed to S. 1813; A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",85,11 
2012-02-13,2,18,PN864,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Adalberto Jose Jordan, of Florida, to be U.S. Circuit Judge",89,5 
2012-02-15,2,19,PN864,On the Nomination,Confirmed,"Confirmation Adalberto Jose Jordan, of Florida, to be U.S. Circuit Judge for the Eleventh Circuit",94,5 
2012-02-17,2,20,S. 1813,On the Cloture Motion S.Amdt. 1633,Rejected,Motion to Invoke Cloture on the Reid Amdt. No. 1633; Of a perfecting nature.,54,42 
2012-02-17,2,21,PN632,On the Nomination,Confirmed,"Confirmation Jesse M. Furman, of New York, to be United States District Judge",62,34 
2012-02-17,2,22,H.R. 3630,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 3630; A bill to extend the payroll tax holiday, unemployment compensation, Medicare physician payment, provide for the consideration of the Keystone XL pipeline, and for other purposes.",60,36 
2012-02-27,2,23,PN631,On the Nomination,Confirmed,"Confirmation Margo Kitsy Brodie, of New York, to be U.S. District Judge for the Eastern District of New York",86,2 
2012-03-01,2,24,S. 1813,On the Motion to Table S.Amdt. 1520,Agreed to,Motion to Table Blunt Amdt. No. 1520; To amend the Patient Protection and Affordable Care Act to protect rights of conscience with regard to requirements for coverage of specific items and services.,51,48 
2012-03-06,2,25,S. 1813,On the Cloture Motion S.Amdt. 1761,Rejected,Motion to Invoke Cloture on the Reid Amdt No. 1761 to S. 1813; Of a perfecting nature.,52,44 
2012-03-06,2,26,PN634,On the Nomination,Confirmed,"Confirmation Mary Elizabeth Phillips, of Missouri, to be U.S. District Judge",95,2 
2012-03-06,2,27,PN736,On the Nomination,Confirmed,"Confirmation Thomas Owen Rice, of Washington, to be U.S. District Judge",93,4 
2012-03-08,2,28,S. 1813,On the Amendment S.Amdt. 1535,Rejected,Vitter Amdt. No. 1535; To provide for an extension of the Draft Proposed Outer Continental Shelf Oil and Gas Leasing Program 2010-2015.,44,54 
2012-03-08,2,29,S. 1813,On the Amendment S.Amdt. 1825,Agreed to,"Baucus Amdt. No. 1825; To reauthorize for 1 year the Secure Rural Schools and Community Self-Determination Act of 2000 and to provide full funding for the Payments in Lieu of Taxes program for 1 year, and for other purposes.",82,16 
2012-03-08,2,30,S. 1813,On the Amendment S.Amdt. 1660,Rejected,"Collins Amdt. No. 1660; To provide additional time for the Administrator of the Environmental Protection Agency to issue achievable standards for industrial, commercial, and institutional boilers, process heaters, and incinerators.",52,46 
2012-03-08,2,31,S. 1813,On the Amendment S.Amdt. 1738,Rejected,Coburn Amdt. No. 1738; To prevent the creation of duplicative and overlapping Federal programs.,52,46 
2012-03-08,2,32,S. 1813,On the Amendment S.Amdt. 1822,Agreed to,"Nelson (FL) Amdt. No. 1822; To provide for the restoration of the natural resources, ecosystems, fisheries, marine and wildlife habitats, beaches, and coastal wetlands of Gulf Coast States and to provide funding for the Land and Water Conservation Fund.",76,22 
2012-03-08,2,33,S. 1813,On the Amendment S.Amdt. 1817,Rejected,"Wyden Amdt. No. 1817; To ensure the expeditious processing of Keystone XL permit applications consistent with current law, prohibit the export of crude oil produced in Canada and transported by the Keystone XL pipeline and related facilities unless the prohibition is waived by the President, and require the use of United States iron, steel, and manufactured goods in the construction of the Keystone XL pipeline and related facilities with certain exceptions.",33,65 
2012-03-08,2,34,S. 1813,On the Amendment S.Amdt. 1537,Rejected,Hoeven Amdt. No. 1537; To approve the Keystone XL pipeline project and provide for environmental protection and government oversight.,56,42 
2012-03-08,2,35,S. 1813,On the Motion,Agreed to,"Motion to Waive All Applicable Budgetary Discipline Re: S.1813; A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",66,31 
2012-03-13,2,36,S. 1813,On the Amendment S.Amdt. 1756,Rejected,DeMint Amdt. No. 1756; To return to the individual States maximum discretionary authority and fiscal responsibility for all elements of the national surface transportation systems that are not within the direct purview of the Federal Government.,30,67 
2012-03-13,2,37,S. 1813,On the Amendment S.Amdt. 1759,Agreed to,Bingaman Amdt. No. 1759; To remove privatized highways from consideration in apportioning highway funding among States.,50,47 
2012-03-13,2,38,S. 1813,On the Amendment S.Amdt. 1826,Rejected,Roberts Amdt. No. 1826 As Modified; Of a perfecting nature.,41,57 
2012-03-13,2,39,S. 1813,On the Amendment S.Amdt. 1812,Rejected,Stabenow Amdt. No. 1812 As Modified; To prevent a tax increase on American businesses and to provide certainty to job creators by extending certain expiring tax credits relating to energy.,49,49 
2012-03-13,2,40,S. 1813,On the Amendment S.Amdt. 1589,Rejected,DeMint Amdt. No. 1589; To amend the Internal Revenue Code of 1986 to terminate certain energy tax subsidies and lower the corporate income tax rate.,26,72 
2012-03-13,2,41,S. 1813,On the Amendment S.Amdt. 1782,Rejected,"Menendez Amdt. No. 1782; To amend the Internal Revenue Code of 1986 to modify certain tax credits relating to energy, and for other purposes.",51,47 
2012-03-13,2,42,S. 1813,On the Amendment S.Amdt. 1517,Rejected,Coats Amdt. No. 1517; To modify the apportionment formula to ensure that the percentage of apportioned funds received by a State is the same as the percentage of total gas taxes paid by the State.,28,70 
2012-03-13,2,43,S. 1813,On the Amendment S.Amdt. 1736,Rejected,Portman Amdt. No. 1736; To free States to spend gas taxes on their transportation priorities.,30,68 
2012-03-13,2,44,S. 1813,On the Motion S.Amdt. 1785,Rejected,"Motion to Waive All Applicable Budgetary Provisions Re: Corker Amdt. No. 1785, As Modified; To lower the FY13 discretionary budget authority cap as set in the Balanced Budget and Emergency Deficit Control Act of 1985 by $11,000,000,000 in order to offset the general fund transfers to the Highway Trust Fund.",40,58 
2012-03-13,2,45,S. 1813,On the Amendment S.Amdt. 1742,Rejected,Portman Amdt. No. 1742; To allow States to permit nonhighway uses in rest areas along any highway.,12,86 
2012-03-14,2,46,S. 1813,On the Amendment S.Amdt. 1816,Agreed to,"Boxer Amdt. No. 1816; To express the sense of the Senate that Federal agencies should ensure that all applicable environmental reviews, approvals, licensing, and permit requirements under Federal law are completed on an expeditious basis after a disaster or emergency.",76,20 
2012-03-14,2,47,S. 1813,On the Motion S.Amdt. 1556,Rejected,Motion to Waive All Applicable Budgetary Disciple Re: Paul Amdt. No. 1556; To permit emergency exemptions from compliance with certain laws for highway construction projects.,42,54 
2012-03-14,2,48,S. 1813,On Passage of the Bill,Passed,"S. 1813 As Amended; A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",74,22 
2012-03-15,2,49,PN566,On the Nomination,Confirmed,"Confirmation Gina Marie Groh, of West Virginia, to be U.S. District Judge",95,2 
2012-03-15,2,50,PN786,On the Nomination,Confirmed,"Confirmation Michael Walter Fitzgerald, of California, to be U.S. District Judge",91,6 
2012-03-20,2,51,H.R. 3606,On the Cloture Motion S.Amdt. 1833,Rejected,Motion to Invoke Cloture on the Reed Amdt. No. 1833; In the nature of a substitute.,54,45 
2012-03-20,2,52,H.R. 3606,On the Cloture Motion S.Amdt. 1836,Rejected,Motion to Invoke Cloture on the Cantwell Amdt. No. 1836; To reauthorize the Export-Import Bank of the United States.,55,44 
