Movie Title,Passes Bechdel Test?,Number of Criteria Passed,Clarity of Pass,Has at least two [named] women in it,The women talk to each other,The women talk about something besides a man,Genre,Director,Main Actors,Production Company,Plot Keywords (top 10),Year,Rating,Runtime (min),Plot,Language,Country,Image,IMDb Popularity Score,Award Popularity,IMDb rating,IMDb votes,Nominations,Wins,IMDB Link
Croczilla (2012),No,0,,Fail,Fail,Fail,"Action, Comedy, Horror",Li Sheng Lin,"Tao Guo, Barbie Hsu, Suet Lam",,"crocodile, escape, lake, bully, money, euro, blood, animal cruelty, dubbed, killer croc",2012,"Parental guidance, Unsuitable for children under 13",90,A 36 foot crocodile goes on the rampage in Beijing after being moved from a peaceful Crocodile Farm and onto the menu of a local gangster.,,China,http://ia.media-imdb.com/images/M/MV5BMTQxMjExNjU5Ml5BMl5BanBnXkFtZTgwMjg3MjIwMDE@._V1_SX300.jpg,1411,,4.2,336,,,http://www.imdb.com/title/tt2354196/
Crystal Fairy & the Magical Cactus and 2012 (2013),Yes,3,Clear,Pass,Pass,Pass,"Adventure, Comedy",Sebastián Silva,"Michael Cera, Gaby Hoffmann, Juan Andrés Silva, Agustín Silva","Diroriro, Fabula","magic, beach, hallucinogen, desert, chile, friend, san pedro cactus, american, drink, party",2013,Not Rated,98,"As Jamie travels in Chile, he invites an eccentric woman to join his group's quest to score a fabled hallucinogen, a move that finds him at odds with his new companion, until they drink the magic brew on a beach at the edge of the desert.","English, Spanish",Chile,http://ia.media-imdb.com/images/M/MV5BMTk3Mjk5NjUxNF5BMl5BanBnXkFtZTcwMTk3OTA4OQ@@._V1_SX300.jpg,28548,8,5.8,"4,922",3,1,http://www.imdb.com/title/tt2332579/
Cutie and the Boxer (2013),No,0,,Fail,Fail,Fail,"Documentary, Biography",Zachary Heinzerling,"Noriko Shinohara, Ushio Shinohara, Alex Shinohara, Ethan Cohen","Little Magic Films, Cine Mosaic, Ex Lion Tamer","art, line art, painter, new york city, marriage, artist, boxing glove, husband wife relationship, aspiring artist, starving artist",2013,Restricted,82,"This candid New York love story explores the chaotic 40-year marriage of famed boxing painter Ushio Shinohara and his wife, Noriko. Anxious to shed her role as her overbearing husband's assistant, Noriko finds an identity of her own.","English, Japanese",United States,http://ia.media-imdb.com/images/M/MV5BMjEyNzgyMjUzNl5BMl5BanBnXkFtZTcwODk3NjQyOQ@@._V1_SX300.jpg,20988,26,7.2,"2,915",6,4,http://www.imdb.com/title/tt2355540/
Cyberbully (2011),Yes,3,Clear,Pass,Pass,Pass,Drama,Charles Binamé,"Emily Osment, Kay Panabaker, Meaghan Rath, Kelly Rowan",Muse,"attempted suicide, suicide attempt, cyber bully, high school, female protagonist, character says i love you, gay teenager, freedom of speech, attorney, female bully",2011,"Parental guidance, Unsuitable for children under 14",120,A teenager is subjected to a campaign of bullying through a social networking site.,English,Canada,http://ia.media-imdb.com/images/M/MV5BMTc5NDQzOTc2N15BMl5BanBnXkFtZTcwNDI5MzI4Nw@@._V1_SX300.jpg,43722,16,6.2,"7,052",6,2,http://www.imdb.com/title/tt1930315/
Cybergeddon (2012),Yes,3,Clear,Pass,Pass,Pass,Thriller,,"Missy Peregrym, Elias Edraki, Kick Gurry, Manny Montana","Aircraft Pictures, Dare To Pass",,2012,"Parental guidance, Unsuitable for children under 13",,"""The real target in war is the mind of the enemy commander, not the bodies of his troops."" - Captain Sir Basil Liddell Hart, Thoughts on War, 1944. Cyberwarfare, cybercrime, and ...",English,"United States, Canada",,2358,1,6.7,352,1,,http://www.imdb.com/title/tt2189240/
Cyrus (2010),No,1,,Pass,Fail,Fail,"Comedy, Drama, Romance","Jay Duplass, Mark Duplass","John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener",Scott Free Productions,"party, 21 year old, musician, rearview mirror, moving out, cooking, knocking on a door, drunkenness, drinking, drink",2010,Restricted,91,"John and Molly, a divorced middle aged man and a single mother meet at a friends party and start up a small relationship, all John has to do now is meet Molly's son... Cyrus",English,United States,http://ia.media-imdb.com/images/M/MV5BMjA1MDU4NzUwMF5BMl5BanBnXkFtZTcwOTM4MDgzMw@@._V1_SX300.jpg,172015,6,6.3,"27,304",6,,http://www.imdb.com/title/tt1336617/
Dabangg 2 (2012),No,1,,Pass,Fail,Fail,"Action, Comedy, Drama",Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Prakash Raj, Vinod Khanna","Arbaaz Khan Productions, Shree Ashtavinayak Cine Vision",,2012,Not Rated,120,"Chulbul Pandey is transferred and promoted to Kanpur. He is happily married with Rajjo. Kanpur witness a lot of criminal activities daily and kidnapping, rape and murders are done in broad ...",Hindi,India,,40580,36,5,"8,116",6,6,http://www.imdb.com/title/tt2112131/
Dallas Buyers Club (2013),Yes,3,Clear,Pass,Pass,Pass,"Biography, Drama",Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare","Truth Entertainment, Voltage Pictures, r2 films","drug, doctor, hiv, aids, fda, hospital, electrician, mexico, clinical trial, hiv positive",2013,Restricted,117,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is himself diagnosed with the disease.","English, Japanese",United States,http://ia.media-imdb.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,1789072,424,8,"223,634",44,76,http://www.imdb.com/title/tt0790636/
Damsels in Distress (2011),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama, Romance",Whit Stillman,"Greta Gerwig, Carrie MacLemore, Megalyn Echikunwoke, Analeigh Tipton",Westerly Films,"college, college campus, fraternity, depression, dance craze, transfer student, comedy of manners, vintage clothing, disappearance, fountain",2011,"Parental guidance, Unsuitable for children under 13",99,"A trio of girls set out to change the male-dominated environment of the Seven Oaks college campus, and to rescue their fellow students from depression, grunge and low standards of every kind.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQ3OTEwMzExOF5BMl5BanBnXkFtZTcwNjMwNTgzNw@@._V1_SX300.jpg,37311,7,5.8,"6,433",2,1,http://www.imdb.com/title/tt1667307/
Dark Shadows (2012),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Horror",Tim Burton,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green","Warner Bros., Village Roadshow Pictures, Infinitum Nihil","witch, vampire, maine, psychiatrist, curse, treasure, hidden room, mansion, unrequited love, 1760s",2012,"Parental guidance, Unsuitable for children under 13",113,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",English,"United States, Australia",http://ia.media-imdb.com/images/M/MV5BMjc0NzAyMzI1MF5BMl5BanBnXkFtZTcwMTE0NDQ1Nw@@._V1_SX300.jpg,1038335,26,6.3,"164,815",11,3,http://www.imdb.com/title/tt1077368/
Dark Skies (2013),No,2,,Pass,Pass,Fail,"Horror, Sci-Fi, Thriller",Scott Stewart,"Keri Russell, Josh Hamilton, Dakota Goyo, Kadan Rockett","Alliance, Automatik Entertainment, Blumhouse Productions","fourth of july, german shepherd, tabby cat, public swimming pool, woman in a bikini, child's drawing, blackout, nightmare, banging one's head against a window, riding a bicycle",2013,"Parental guidance, Unsuitable for children under 13",97,"As the Barret family's peaceful suburban life is rocked by an escalating series of disturbing events, they come to learn that a terrifying and deadly force is after them.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTcxNDE1OTgyOF5BMl5BanBnXkFtZTcwMTEyMzMxOQ@@._V1_SX300.jpg,281295,,6.3,"44,650",,,http://www.imdb.com/title/tt2387433/
Dark Touch (2013),Yes,3,Clear,Pass,Pass,Pass,Horror,Marina de Van,"Missy Keating, Marcella Plunkett, Padraic Delaney, Charlotte Flyvholm","Element Pictures, Eurimages, Ex Nihilo",child abuse,2013,Not Rated,90,"In a remote town in Ireland, eleven-year-old Niamh finds herself the sole survivor of a bloody massacre that killed her parents and younger brother. Suspecting a gang of homicidal vandals, ...",English,"France, Ireland, Sweden",http://ia.media-imdb.com/images/M/MV5BNTU0ODkxOTkzN15BMl5BanBnXkFtZTgwMjQzNzIyMDE@._V1_SX300.jpg,12470,16,4.8,"2,598",1,3,http://www.imdb.com/title/tt2328549/
Das Leben ist nichts fur Feiglinge (2012),Yes,3,Clear,Pass,Pass,Pass,Drama,André Erkau,"Wotan Wilke Möhring, Helen Woigk, Christine Schorn, Frederick Lau","Riva Filmproduktion, Westdeutscher Rundfunk (WDR), ARTE",,2012,,98,,German,Germany,,3377,18,6.7,504,3,3,http://www.imdb.com/title/tt2147550/
Das Wochenende (2012),Yes,3,Dubious,Pass,Pass,Pass,Drama,Nina Grosse,"Sebastian Koch, Katja Riemann, Sylvester Groth, Barbara Auer",UFA Cinema,,2012,,98,"After being released from prison, former RAF terrorist Jens Kessler spends his first weekend in freedom with friends from the past; among them are his former lover Inga and her husband. As ...",German,Germany,http://ia.media-imdb.com/images/M/MV5BODE2OTc0MjM4OF5BMl5BanBnXkFtZTgwMjQwMTIzMTE@._V1_SX300.jpg,798,9,6,133,4,1,http://www.imdb.com/title/tt1836202/
Date Night (2010),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Crime, Romance",Shawn Levy,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson","Twentieth Century Fox, 21 Laps Entertainment, Dune Entertainment","reservation, city, night, restaurant, date, new york city, mistaken identity, tracksuit, xbox 360, cartoon on tv",2010,"Parental guidance, Unsuitable for children under 13",88,"In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.","English, Hebrew",United States,http://ia.media-imdb.com/images/M/MV5BODgwMjM2ODE4M15BMl5BanBnXkFtZTcwMTU2MDcyMw@@._V1_SX300.jpg,695066,27,6.3,"110,328",7,4,http://www.imdb.com/title/tt1279935/
Dawn of the Planet of the Apes (2014),No,1,,Pass,Fail,Fail,"Action, Drama, Sci-Fi",Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell","Chernin Entertainment, Ingenious Media, TSG Entertainment","monkey, colony, post apocalypse, sequel, ape, woods, forest, sewer, tunnel, elevator",2014,"Parental guidance, Unsuitable for children under 13",130,"Ten years after a pandemic disease, apes who have survived it are drawn into battle with a group of human survivors.","English, English, Sign Language",United States,http://ia.media-imdb.com/images/M/MV5BMTgwODk3NDc1N15BMl5BanBnXkFtZTgwNTc1NjQwMjE@._V1_SX300.jpg,1312158,6,7.9,"166,096",1,1,http://www.imdb.com/title/tt2103281/
Daydream Nation (2010),Yes,3,Clear,Pass,Pass,Pass,"Drama, Romance",Michael Goldbach,"Kat Dennings, Reece Thompson, Andie MacDowell, Josh Lucas","Screen Siren Pictures, Film Farm, Lila 9th Productions","small town, high school, sexual relationships, serial killer, stoner, hairy chest, bare chested male, single parent, slut, fully clothed sex",2010,Restricted,98,A city girl who moves to a small town and becomes entangled in a love triangle between her high school teacher and a stoner classmate.,English,Canada,http://ia.media-imdb.com/images/M/MV5BMTgxNjk2MTIyNl5BMl5BanBnXkFtZTcwNDc5MDA4NA@@._V1_SX300.jpg,54867,11,6.5,"8,441",6,1,http://www.imdb.com/title/tt1581835/
Dead Girls (2014),Yes,3,Clear,Pass,Pass,Pass,"Horror, Thriller","Neal Fischer, Del Harvey","Jessica Galang, Joseph Luis Caballero, Rebecca Mullins, Aubrey Joyce Tunnell",Rough Cut Films,,2014,,91,Three stories of abused and forsaken girls who return from the dead to take their revenge.,English,United States,http://ia.media-imdb.com/images/M/MV5BNzE0NTA5MTQyMV5BMl5BanBnXkFtZTgwMDA2ODcxMzE@._V1_SX300.jpg,86,,4.3,20,,,http://www.imdb.com/title/tt3560546/
Dead Man Down (2013),Yes,3,Dubious,Pass,Pass,Pass,"Action, Crime, Drama",Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Terrence Howard, Dominic Cooper","FilmDistrict, IM Global, WWE Studios","crime lord, new york city, box office flop, brokem wristwatch, firefight, woman on top, jigsaw puzzle, mirror, subjective camera, lens flare",2013,Restricted,118,"In New York City, a crime lord's right-hand man is seduced by a woman seeking retribution.","English, French, Albanian, Spanish, Hungarian",United States,http://ia.media-imdb.com/images/M/MV5BMTM2NTU5NTIzMF5BMl5BanBnXkFtZTcwNjQ3MTM5OA@@._V1_SX300.jpg,301711,,6.5,"46,417",,,http://www.imdb.com/title/tt2101341/
Dead Man's Burden (2012),No,0,,Fail,Fail,Fail,"Drama, Western",Jared Moshe,"Barlow Jacobs, Clare Bowen, David Call, Joseph Lyle Taylor","Illuminaria Productions, Stick! Pictures",character name in title,2012,,93,A western set on the New Mexico frontier a few years after the Civil War and centered on a struggling young family and the mining company who wants to buy their land.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTQxNjQyMzI3OF5BMl5BanBnXkFtZTcwMDQxNDA0OQ@@._V1_SX300.jpg,1879,6,5.4,348,1,1,http://www.imdb.com/title/tt2094155/
Dead Snow 2 (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Comedy, Horror",Tommy Wirkola,"Vegar Hoel, Ørjan Gamst, Martin Starr, Jocelyn DeBoer","Tappeluft Pictures, Saga Film, XYZ Films","soviet zombie, nazi zombie, zombie, sequel, bludgeoning, gore, murder of a child, disembowelment, massacre, decapitated head",2014,Restricted,100,"If the worst day of your life consisted of accidentally killing your girlfriend with an axe, chain-sawing your own arm off, and watching in horror as your closest friends were devoured by a...","Norwegian, English, German","Norway, Iceland",http://ia.media-imdb.com/images/M/MV5BMTk2MTEwOTcwOF5BMl5BanBnXkFtZTgwMDEzMjM2MjE@._V1_SX300.jpg,39760,57,7.1,"5,600",2,11,http://www.imdb.com/title/tt2832470/
Dear John (2010),No,0,,Fail,Fail,Fail,"Drama, Romance, War",Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas","Screen Gems, Relativity Media, Temple Hill Entertainment","leave, love, college, army, u.s. army, magnifying glass, offset die coin, coin blank, humvee, coin collector",2010,"Parental guidance, Unsuitable for children under 13",108,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_SX300.jpg,456964,27,6.3,"72,534",7,4,http://www.imdb.com/title/tt0989757/
Dear White People (2014),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Drama",Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner, Teyonah Parris","Code Red, Duly Noted, Homegrown Pictures","college, biracial, viral video, reference to tyler perry, reference to spike lee, radio program, racism, hair weave, gay black man, film student",2014,Restricted,108,The lives of four black students at an Ivy League college.,English,United States,http://ia.media-imdb.com/images/M/MV5BMjMzMjc5MjIzNV5BMl5BanBnXkFtZTgwNTY4OTQ2MjE@._V1_SX300.jpg,42438,21,6.6,"6,430",1,4,http://www.imdb.com/title/tt2235108/
Decay (2012),Yes,3,Clear,Pass,Pass,Pass,Horror,"Luke Thompson, Michael Mazur","Zoë Hatherell, Tom Procter, Stewart Martin-Haugh, William P. Martin",H2ZZ Productions,"cern, physics, zombie",2012,,80,A group of PhD students who work at the Large Hadron Collider (LHC) at CERN find themselves in an emergency situation as a result of a problem with the accelerator. The maintenance crew ...,English,United Kingdom,,1170,,3.8,308,,,http://www.imdb.com/title/tt2523692/
Decoding Annie Parker (2013),Yes,3,Clear,Pass,Pass,Pass,Drama,Steven Bernstein,"Aaron Paul, Maggie Grace, Alice Eve, Ben McKenzie","Decoding Annie Parker, Media House Capital, Ozymandias Productions","cancer, what happened to epilogue, dna testing, dna analysis, sex with sister's husband, dna, ice hockey arena, marital separation, chemotherapy, research laboratory",2013,Restricted,91,"Love, science, sex, infidelity, disease and comedy, the wild, mostly true story of the irrepressible Annie Parker and the almost discovery of a cure for cancer.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTQ0MjkzNzQ3OF5BMl5BanBnXkFtZTgwOTAyNzA2MTE@._V1_SX300.jpg,10414,26,6.3,"1,653",6,4,http://www.imdb.com/title/tt1464191/
Den skaldede frisor (2012),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Romance",Susanne Bier,"Trine Dyrholm, Stina Ekblad, Sebastian Jessen, Molly Blixt Egelind","Zentropa, Zentropa, Zentropa","gay kiss, wedding planning, mother daughter relationship, father son relationship, breast cancer, sorrento italy, wedding, widower, hairdresser, mature romance",2012,Restricted,116,"A hairdresser who has lost her hair to cancer finds out her husband is having an affair, travels to Italy for her daughter's wedding and meets a widower who still blames the world for the loss of his wife.","English, Danish, Italian","Denmark, Sweden, Italy, France, Germany",http://ia.media-imdb.com/images/M/MV5BNzYxMDQwMzIzMF5BMl5BanBnXkFtZTcwNjcxODIzOQ@@._V1_SX300.jpg,50054,31,6.6,"7,584",11,4,http://www.imdb.com/title/tt1854236/
Denizen (2010),No,1,,Pass,Fail,Fail,"Action, Horror, Sci-Fi",J.A. Steel,"Julie Corgill, Glen Jensen, Ben Bayless, Jody Mullins","Tunis Productions, Warrior Entertainment",,2010,,83,A Creature terrorizes a small town and it is up to a small group of scientists to stop it.,English,United States,http://ia.media-imdb.com/images/M/MV5BMTc3NDg4Mjk3Ml5BMl5BanBnXkFtZTcwMjAxMjI5Mg@@._V1_SX300.jpg,428,13,5.7,75,3,2,http://www.imdb.com/title/tt1194424/
Der Kleine Medicus - Geheimnisvolle Mission im Korper (2014),Yes,3,Clear,Pass,Pass,Pass,"Animation, Family",Peter Claridge,"Christiane Paul, Malte Arkona, Bernhard Hoëcker, Dietrich Grönemeyer","WunderWerk, DKM, Zeitsprung Pictures","blood stream, medical, body",2014,,78,,German,Germany,,67,,4.8,14,,,http://www.imdb.com/title/tt3832158/
Despicable Me (2010),Yes,3,Clear,Pass,Pass,Pass,"Animation, Comedy, Family","Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand, Julie Andrews","Universal Studios, Illumination Entertainment","girl, moon, minion, neighbor, criminal mastermind, little girl, orphan, holding one's breath, holding breath, wii",2010,Parental guidance,95,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,2163792,58,7.7,"281,012",33,5,http://www.imdb.com/title/tt1323594/
Despicable Me 2 (2013),Yes,3,Clear,Pass,Pass,Pass,"Animation, Comedy, Family","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Universal Studios, Illumination Entertainment","minion, woman agent, overprotective father, dating, undercover spy, father daughter relationship, russian accent, single father, jelly, restaurant",2013,Parental guidance,98,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",English,United States,http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,1563968,129,7.5,"208,529",54,15,http://www.imdb.com/title/tt1690953/
Detective Dee and the Mystery of the Phantom Flame (2010),Yes,3,Clear,Pass,Pass,Pass,"Action, Adventure, Drama",Hark Tsui,"Tony Ka Fai Leung, Chao Deng, Carina Lau, Bingbing Li","China Film Co-Production Corporation, Film Workshop, Huayi Brothers Media","empress, detective, conspiracy, loyal assistant, china, blind man fighting, blind old man, transfiguration, whip, chaplain",2010,"Parental guidance, Unsuitable for children under 13",119,An exiled detective is recruited to solve a series of mysterious deaths that threaten to delay the inauguration of Empress Wu.,"Mandarin, Spanish","China, Hong Kong",http://ia.media-imdb.com/images/M/MV5BMjEzODQ0MzEwMl5BMl5BanBnXkFtZTcwNzI4MTgwNg@@._V1_SX300.jpg,46444,42,6.6,"7,037",12,6,http://www.imdb.com/title/tt1123373/
Detention (2011),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Horror, Sci-Fi",Joseph Kahn,"Alison Woods, Logan Stalarow, Julie Dolan, Shanley Caswell",Detention Films,"high school, detention, saving the world, broken leg, stabbed in the side, decapitation, reference to sharon stone, suicide, reference to osama bin laden, axe murder",2011,Restricted,93,"As a killer named Cinderhella stalks the student body at the high school in Grizzly Lake, a group of co-eds band together to survive while they're all serving detention.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTk5NzMxMDA1Nl5BMl5BanBnXkFtZTcwODM3MDcxNQ@@._V1_SX300.jpg,61358,3,5.8,"10,579",3,,http://www.imdb.com/title/tt1701990/
Deus Ex Human Revolution (2011),Yes,3,Clear,Pass,Pass,Pass,"Action, Sci-Fi","Jean-François Dugas, Kody Sabourin","Elias Toufexis, Stephen Shellen, Andreas Apergis, Michelle Boback","Eidos Interactive, Goldtooth Creative","cyberpunk, blade, megacorporation, neo noir, hero kills a woman, shot in the head, detroit michigan, future, gang, tv news",2011,,,"When a black ops team breaks in and kills the scientists Adam Jensen was hired to protect, everything he thought he knew about his job changes. And someone is working very hard to ensure ...",English,United States,http://ia.media-imdb.com/images/M/MV5BMTY3ODM4NDkyNl5BMl5BanBnXkFtZTgwNjgwNzg2MDE@._V1_SX300.jpg,24596,3,8.6,"2,860",3,,http://www.imdb.com/title/tt1319708/
Devil (2010),Yes,3,Clear,Pass,Pass,Pass,"Horror, Mystery, Thriller",John Erick Dowdle,"Chris Messina, Logan Marshall-Green, Jenny O'Hara, Bojana Novakovic","Universal Studios, Media Rights Capital, Night Chronicles","devil, throat slitting, elevator, trapped in an elevator, hit and run, claustrophobia, security guard, suicide, death, circular saw",2010,"Parental guidance, Unsuitable for children under 13",80,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.,"English, Ukrainian, Spanish",United States,http://ia.media-imdb.com/images/M/MV5BMTgxMTI1OTY2N15BMl5BanBnXkFtZTcwMzY3NTU2Mw@@._V1_SX300.jpg,567951,2,6.3,"90,151",2,,http://www.imdb.com/title/tt1314655/
Devil's Pass (2013),Yes,3,Clear,Pass,Pass,Pass,"Horror, Mystery, Thriller",Renny Harlin,"Holly Goss, Matt Stokoe, Luke Albright, Ryan Hawley","Aldamisa Entertainment, K. JAM Media, Future Films","mountain climbing, mountain, russia, ural mountains, flare gun, aurora borealis, mil mi 8 hip helicopter, newscast, archival photograph, journey shown on a map",2013,Restricted,100,Five young filmmakers retrace the steps of a doomed group of hikers in pursuit of an unsolvable mystery.,"English, Russian","United States, United Kingdom, Russia",http://ia.media-imdb.com/images/M/MV5BMjMzOTMxMTA3N15BMl5BanBnXkFtZTgwNDg4MDAwMDE@._V1_SX300.jpg,60682,6,5.7,"10,646",1,1,http://www.imdb.com/title/tt1905040/
Diary of a Wimpy Kid (2010),Yes,3,Clear,Pass,Pass,Pass,"Comedy, Family",Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn","Color Force, Dayday Films, Dune Entertainment","diary, cheese, cooties, cafeteria, bully, school, middle school, journal, studio logo segues into film, altered version of studio logo",2010,Parental guidance,94,"The adventures of a teenager who is fresh out and in Middle School, where he has to learn the consequences and responsibility to survive the year.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTg3NzQ2NDgyNF5BMl5BanBnXkFtZTcwMDc1NzIyMw@@._V1_SX300.jpg,165478,28,6.2,"26,690",8,4,http://www.imdb.com/title/tt1196141/
Diary of a Wimpy Kid: Rodrick Rules (2011),No,1,,Pass,Fail,Fail,"Comedy, Family",David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron","Twentieth Century Fox, Color Force, Dune Entertainment","brother, school, middle school, studio logo segues into film, altered version of studio logo, apple macbook, xbox 360, rules, antic, pictures",2011,Parental guidance,99,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTcxNDYwOTEzMl5BMl5BanBnXkFtZTcwOTA3MzY3NA@@._V1_SX300.jpg,101891,10,6.6,"15,438",5,1,http://www.imdb.com/title/tt1650043/
Die Wand (2012),No,0,,Fail,Fail,Fail,"Drama, Fantasy",Julian Pölsler,"Martina Gedeck, Karlheinz Hackl, Ulrike Beimpold, Julia Gschnitzer","Coop99 Filmproduktion, Starhaus Filmproduktion, Bayerischer Rundfunk","dog, nature, animal death, crow, austrian alps, alps, birth of calf, calf, animal birth, fox",2012,Not Rated,108,"A woman inexplicably finds herself cut off from all human contact when an invisible, unyielding wall suddenly surrounds the countryside. Accompanied by her loyal dog Lynx, she becomes ...",German,"Austria, Germany",http://ia.media-imdb.com/images/M/MV5BNjY3NjU0OTM2OF5BMl5BanBnXkFtZTcwMDQ2MDE1OQ@@._V1_SX300.jpg,22433,29,6.8,"3,299",14,3,http://www.imdb.com/title/tt1745686/
Dinner for Schmucks (2010),No,1,,Pass,Fail,Fail,Comedy,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement","Paramount Pictures, DreamWorks, Spyglass Entertainment","dinner, idiot, irs, diorama, mouse, friend, xbox 360, fake british accent, art curator, dead mouse",2010,"Parental guidance, Unsuitable for children under 13",114,"When he finds out that his work superiors host a dinner celebrating the idiocy of their guests, a rising executive questions it when he's invited, just as he befriends a man who would be the perfect guest.",English,United States,http://ia.media-imdb.com/images/M/MV5BOTk5MTYzNTIyMl5BMl5BanBnXkFtZTcwOTM3MTQ2Mw@@._V1_SX300.jpg,409973,2,5.9,"69,487",2,,http://www.imdb.com/title/tt0427152/
Disconnect (2012),No,2,,Pass,Pass,Fail,"Drama, Thriller",Henry Alex Rubin,"Jason Bateman, Hope Davis, Frank Grillo, Michael Nyqvist","LD Entertainment, Liddell Entertainment, Exclusive Media Group","ex cop, journalist, cyber bully, cell phone, lawyer, words on screen, text on screen, internet chat, private detective, held at gunpoint",2012,Restricted,115,A drama centered on a group of people searching for human connections in today's wired world.,English,United States,http://ia.media-imdb.com/images/M/MV5BMjA2MTEzMDkyOF5BMl5BanBnXkFtZTcwNzc4NTgxOQ@@._V1_SX300.jpg,357610,,7.6,"47,054",,,http://www.imdb.com/title/tt1433811/
Divergent (2014),Yes,3,Clear,Pass,Pass,Pass,"Action, Adventure, Sci-Fi",Neil Burger,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney","Summit Entertainment, Red Wagon Entertainment","dystopia, death, test, attempted coup d'etat, jumping a train, knife held to throat, seeing mother killed, execution, attempted murder, submerged in a tank of water",2014,"Parental guidance, Unsuitable for children under 13",139,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",English,United States,http://ia.media-imdb.com/images/M/MV5BMTYxMzYwODE4OV5BMl5BanBnXkFtZTgwNDE5MzE2MDE@._V1_SX300.jpg,1263556,34,6.9,"183,124",9,5,http://www.imdb.com/title/tt1840309/
Django Unchained (2012),No,1,,Pass,Fail,Fail,Western,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","Weinstein Company, Sony Pictures","n word, racial slur, slavery, freed slave, riding bareback, bound and gagged, massacre, slave, rescue, plantation",2012,Restricted,165,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","English, German, French",United States,http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,5741827,395,8.5,"675,509",90,61,http://www.imdb.com/title/tt1853728/
