;A;B;C
R1499;1;1;0
R1500;0;1;0
R1501;0;0;0
R1502;0;0;0
R1503;1;0;1
R1504;0;1;0
R1505;1;0;1
R1506;1;0;0
R1507;1;0;1
R1508;1;1;1
R1509;0;1;0
R1510;1;1;0
R1511;0;1;0
R1512;1;1;0
R1513;0;1;0
R1514;1;1;0
R1515;0;0;0
R1516;0;1;0
R1517;1;1;1
R1518;1;1;0
R1519;0;0;0
R1520;0;1;1
R1521;0;1;1
R1522;1;0;1
R1523;1;0;0
R1524;1;0;1
R1525;0;0;0
R1526;0;1;0
R1527;1;0;1
R1528;0;1;0
R1529;1;0;1
R1530;1;1;0
R1531;1;0;0
R1532;1;1;1
R1533;1;0;0
R1534;0;1;0
R1535;1;1;0
R1536;0;1;1
R1537;1;0;0
R1538;1;1;0
R1539;0;0;1
R1540;1;1;0
R1541;0;1;0
R1542;0;0;1
R1543;1;1;1
R1544;1;0;1
R1545;0;1;0
R1546;1;1;1
R1547;1;0;0
R1548;1;1;1
R1549;0;1;0
R1550;0;0;0
R1551;0;0;1
R1552;1;1;0
R1553;1;0;0
R1554;1;1;1
R1555;1;1;1
R1556;1;1;0
R1557;0;0;0
R1558;0;1;1
R1559;0;0;0
R1560;1;1;1
R1561;0;1;1
R1562;0;1;1
R1563;0;1;1
R1564;1;1;1
R1565;0;1;1
R1566;0;0;0
R1567;0;0;1
R1568;0;1;1
R1569;0;0;0
R1570;1;1;0
R1571;0;1;0
R1572;0;1;1
R1573;1;1;0
R1574;1;0;0
R1575;0;0;0
R1576;0;1;0
R1577;1;0;0
R1578;0;0;1
R1579;1;0;0
R1580;0;1;0
R1581;0;0;0
R1582;1;1;0
R1583;1;0;0
R1584;0;1;0
R1585;1;1;1
R1586;1;1;0
R1587;0;1;0
R1588;1;1;1
R1589;0;0;1
R1590;1;0;1
R1591;0;1;1
R1592;0;0;1
R1593;1;0;1
R1594;1;0;1
R1595;0;1;1
R1596;1;0;0
R1597;0;1;1
R1598;1;0;1
R1599;0;1;0
R1600;0;0;1
R1601;0;1;0
R1602;0;1;1
R1603;1;1;1
R1604;1;1;0
R1605;1;1;0
R1606;0;1;1
R1607;1;1;1
R1608;0;0;0
R1609;0;0;0
R1610;1;1;1
R1611;0;1;0
R1612;1;1;1
R1613;0;1;1
R1614;0;0;0
R1615;0;1;1
R1616;0;0;1
R1617;0;0;0
R1618;0;0;0
R1619;1;0;1
R1620;0;1;0
R1621;0;1;0
R1622;0;0;1
R1623;1;1;1
R1624;1;0;1
R1625;1;1;0
R1626;1;1;1
R1627;1;0;0
R1628;0;0;0
R1629;0;1;0
R1630;1;0;1
R1631;0;0;1
R1632;0;1;0
R1633;1;1;0
R1634;0;0;0
R1635;0;1;0
R1636;1;1;1
R1637;0;0;0
R1638;0;0;0
R1639;0;1;1
R1640;1;0;1
R1641;1;0;1
R1642;1;1;1
R1643;0;0;0
R1644;0;1;1
R1645;0;0;0
R1646;1;1;0
R1647;0;0;1
R1648;0;0;1
R1649;1;0;0
R1650;1;0;1
R1651;0;0;0
R1652;1;0;0
R1653;1;0;0
R1654;0;1;1
R1655;1;0;0
R1656;1;1;1
R1657;1;0;1
R1658;1;0;0
R1659;1;0;1
R1660;0;0;1
R1661;0;1;1
R1662;0;1;1
R1663;0;0;1
R1664;0;1;0
R1665;0;1;0
R1666;1;1;0
R1667;0;0;1
R1668;1;0;1
R1669;1;1;0
R1670;0;0;1
R1671;0;0;0
R1672;1;1;0
R1673;1;0;0
R1674;1;1;1
R1675;1;1;0
R1676;1;1;1
R1677;0;1;1
R1678;0;1;0
R1679;0;0;0
R1680;0;1;0
R1681;1;0;1
R1682;1;0;1
R1683;1;0;1
R1684;1;0;0
R1685;1;0;0
R1686;1;0;1
R1687;1;0;0
R1688;0;0;0
R1689;0;1;0
R1690;1;1;0
R1691;1;1;1
R1692;1;1;0
R1693;1;0;0
R1694;0;1;1
R1695;1;0;0
R1696;0;0;0
R1697;1;1;0
R1698;1;0;0
R1699;1;0;0
R1700;1;0;1
R1701;0;1;1
R1702;1;1;1
R1703;0;0;0
R1704;0;0;0
R1705;1;0;0
R1706;0;1;0
R1707;1;1;0
R1708;1;1;0
R1709;0;0;1
R1710;0;1;1
R1711;1;1;0
R1712;0;0;1
R1713;1;1;0
R1714;1;1;0
R1715;0;1;1
R1716;0;1;1
R1717;1;0;1
R1718;1;0;0
R1719;1;0;1
R1720;1;1;1
R1721;0;1;0
R1722;0;0;0
R1723;0;0;1
R1724;0;1;1
R1725;0;0;0
R1726;0;0;0
R1727;0;1;0
R1728;1;1;0
R1729;0;1;1
R1730;0;1;0
R1731;1;1;1
R1732;0;1;1
R1733;1;0;1
R1734;0;0;1
R1735;0;1;0
R1736;0;1;0
R1737;1;1;0
R1738;0;0;0
R1739;0;0;1
R1740;1;0;1
R1741;0;1;1
R1742;1;0;1
R1743;0;1;0
R1744;0;1;1
R1745;1;1;0
R1746;0;0;0
R1747;0;0;0
R1748;0;1;1
R1749;0;0;0
R1750;1;1;1
R1751;1;1;1
R1752;1;0;1
R1753;1;1;0
R1754;0;0;0
R1755;1;1;0
R1756;1;1;0
R1757;1;1;1
R1758;0;1;1
R1759;1;0;0
R1760;1;0;0
R1761;0;1;1
R1762;0;0;0
R1763;0;0;0
R1764;0;0;0
R1765;1;0;1
R1766;1;1;0
R1767;1;1;1
R1768;0;0;1
R1769;1;1;0
R1770;1;0;0
R1771;0;0;1
R1772;0;1;1
R1773;1;0;0
R1774;0;1;1
R1775;0;0;1
R1776;0;0;0
R1777;1;0;1
R1778;0;1;0
R1779;0;0;1
R1780;0;1;0
R1781;0;0;1
R1782;0;0;1
R1783;1;1;0
R1784;1;0;0
R1785;1;0;1
R1786;1;1;1
R1787;1;1;0
R1788;0;1;1
R1789;0;1;0
R1790;1;0;1
R1791;1;0;0
R1792;1;0;1
R1793;0;0;1
R1794;1;0;0
R1795;1;0;0
R1796;1;1;1
R1797;0;1;0
R1798;0;0;0
R1799;1;1;1
R1800;0;1;1
R1801;0;1;0
R1802;0;0;0
R1803;1;0;1
R1804;1;0;0
R1805;0;0;1
R1806;0;1;0
R1807;1;0;1
R1808;0;1;1
R1809;1;0;0
R1810;1;1;0
R1811;0;0;0
R1812;1;0;0
R1813;0;1;0
R1814;0;0;1
R1815;1;0;0
R1816;1;1;1
R1817;0;0;0
R1818;0;0;1
R1819;1;0;1
R1820;0;1;1
R1821;0;0;1
R1822;1;1;1
R1823;1;0;1
R1824;0;1;1
R1825;0;1;0
R1826;1;1;0
R1827;1;0;0
R1828;1;0;0
R1829;1;1;0
R1830;1;0;1
R1831;0;0;1
R1832;1;0;0
R1833;1;1;0
R1834;1;0;1
R1835;0;0;1
R1836;0;1;1
R1837;1;1;1
R1838;0;1;0
R1839;0;0;1
R1840;1;0;0
R1841;0;0;1
R1842;1;1;0
R1843;0;1;0
R1844;0;1;1
R1845;1;0;1
R1846;1;0;1
R1847;1;1;1
R1848;1;1;0
R1849;0;0;1
R1850;1;0;0
R1851;1;0;1
R1852;0;1;0
R1853;0;1;0
R1854;1;1;0
R1855;0;0;1
R1856;1;0;0
R1857;0;0;0
R1858;0;1;0
R1859;1;1;0
R1860;0;1;0
R1861;0;0;1
R1862;1;1;0
R1863;0;0;1
R1864;1;1;0
R1865;1;0;0
R1866;1;1;0
R1867;0;1;1
R1868;1;0;1
R1869;1;0;0
R1870;1;0;1
R1871;0;0;0
R1872;1;1;1
R1873;0;0;1
R1874;1;0;0
R1875;0;1;1
R1876;1;1;1
R1877;0;0;0
R1878;0;0;0
R1879;1;0;1
R1880;1;1;1
R1881;1;1;0
R1882;1;0;0
R1883;1;0;0
R1884;0;0;1
R1885;0;1;1
R1886;0;1;1
R1887;1;1;1
R1888;1;0;0
R1889;0;1;0
R1890;0;1;0
R1891;0;1;1
R1892;0;1;1
R1893;0;1;1
R1894;0;0;0
R1895;0;1;0
R1896;0;1;1
R1897;1;1;1
R1898;0;1;1
R1899;1;0;0
R1900;0;0;0
R1901;0;1;1
R1902;0;1;1
R1903;0;1;0
R1904;0;0;1
R1905;1;1;0
R1906;0;1;1
R1907;0;1;0
R1908;0;0;0
R1909;0;0;1
R1910;1;1;0
R1911;1;1;0
R1912;1;1;0
R1913;1;0;0
R1914;0;1;0
R1915;1;0;1
R1916;1;0;0
R1917;0;0;0
R1918;1;1;1
R1919;1;0;0
R1920;1;1;0
R1921;0;1;1
R1922;1;0;0
R1923;0;1;0
R1924;0;0;0
R1925;1;0;0
R1926;0;0;0
R1927;1;0;1
R1928;1;0;0
R1929;1;1;0
R1930;0;0;0
R1931;0;0;0
R1932;1;1;0
R1933;1;1;1
R1934;0;0;0
R1935;0;1;0
R1936;0;1;1
R1937;0;1;0
R1938;0;0;0
R1939;0;1;0
R1940;1;0;0
R1941;0;0;1
R1942;1;0;0
R1943;1;1;0
R1944;1;0;0
R1945;0;0;1
R1946;1;1;0
R1947;1;0;0
R1948;1;1;0
R1949;0;1;1
R1950;0;1;1
R1951;0;0;0
R1952;0;0;1
R1953;0;1;1
R1954;0;0;1
R1955;1;1;1
R1956;0;1;0
R1957;1;1;0
R1958;1;1;0
R1959;1;0;0
R1960;1;1;1
R1961;1;0;0
R1962;1;0;1
R1963;1;0;0
R1964;1;0;0
R1965;0;1;0
R1966;0;0;0
R1967;1;1;1
R1968;1;1;0
R1969;0;1;1
R1970;0;1;1
R1971;0;1;0
R1972;1;1;0
R1973;0;1;0
R1974;1;0;1
R1975;0;0;0
R1976;0;1;1
R1977;0;0;0
R1978;1;0;0
R1979;1;0;1
R1980;1;0;0
R1981;0;1;1
R1982;0;1;0
R1983;0;1;1
R1984;0;1;1
R1985;1;0;0
R1986;0;0;0
R1987;1;1;1
R1988;1;1;1
R1989;1;0;1
R1990;0;1;0
R1991;0;1;0
R1992;1;0;0
R1993;0;0;1
R1994;0;0;0
R1995;0;0;0
R1996;1;1;1
R1997;0;0;0
R1998;1;1;0
R1999;0;1;0
R2000;1;0;0
R2001;0;0;0
R2002;1;0;1
R2003;0;0;0
R2004;0;0;0
R2005;0;1;1
R2006;0;0;0
R2007;0;0;0
R2008;1;1;0
R2009;0;0;1
R2010;0;1;1
R2011;0;0;0
R2012;0;0;0
R2013;0;1;0
R2014;0;1;0
R2015;1;1;0
R2016;0;1;1
R2017;0;0;1
R2018;0;0;1
R2019;1;1;0
R2020;0;0;0
R2021;1;0;1
R2022;1;0;1
R2023;1;1;1
R2024;1;0;1
R2025;0;0;1
R2026;1;1;1
R2027;0;0;1
R2028;0;1;0
R2029;1;1;0
R2030;1;1;1
R2031;1;0;0
R2032;1;0;0
R2033;0;1;1
R2034;1;0;1
R2035;1;1;1
R2036;1;0;0
R2037;0;0;1
R2038;1;1;1
R2039;0;0;1
R2040;0;1;0
R2041;0;1;1
R2042;1;1;1
R2043;1;1;1
R2044;1;0;1
R2045;0;1;1
R2046;0;1;1
R2047;1;0;0
R2048;1;1;1
R2049;0;0;1
R2050;0;1;1
R2051;1;0;1
R2052;1;0;1
R2053;0;0;0
R2054;0;1;0
R2055;1;1;0
R2056;0;1;0
R2057;1;1;0
R2058;0;1;1
R2059;0;1;1
R2060;0;0;0
R2061;0;0;1
R2062;0;1;0
R2063;1;1;1
R2064;0;0;0
R2065;0;1;1
R2066;1;0;0
R2067;0;1;1
R2068;0;1;0
R2069;1;1;1
R2070;0;0;0
R2071;1;0;1
R2072;1;1;0
R2073;0;1;0
R2074;0;0;0
R2075;0;1;0
R2076;0;0;0
R2077;0;0;0
R2078;1;1;1
R2079;0;0;1
R2080;1;0;1
R2081;1;1;0
R2082;1;0;0
R2083;1;1;0
R2084;1;0;1
R2085;1;0;1
R2086;0;0;1
R2087;0;1;1
R2088;1;1;0
R2089;1;0;0
R2090;1;0;0
R2091;0;0;1
R2092;1;0;1
R2093;1;1;1
R2094;0;0;0
R2095;1;1;0
R2096;0;1;0
R2097;1;0;1
R2098;1;0;1
R2099;1;0;0
R2100;1;0;1
R2101;0;0;0
R2102;0;1;1
R2103;0;1;1
R2104;0;0;0
R2105;0;1;0
R2106;1;1;0
R2107;1;0;0
R2108;1;1;0
R2109;0;0;1
R2110;1;0;0
R2111;0;0;0
R2112;0;0;0
R2113;1;1;0
R2114;1;1;1
R2115;0;0;1
R2116;1;0;0
R2117;0;0;0
R2118;0;0;1
R2119;0;0;0
R2120;1;0;1
R2121;1;1;0
R2122;1;1;1
R2123;0;1;1
R2124;1;1;1
R2125;1;1;0
R2126;0;0;1
R2127;1;0;1
R2128;1;1;1
R2129;1;1;1
R2130;0;0;0
R2131;0;0;1
R2132;0;0;0
R2133;1;1;0
R2134;1;1;0
R2135;1;0;0
R2136;0;1;0
R2137;0;0;1
R2138;0;0;1
R2139;1;1;1
R2140;0;1;1
R2141;0;1;1
R2142;0;1;0
R2143;1;0;1
R2144;1;1;0
R2145;0;0;0
R2146;1;0;1
R2147;0;0;1
R2148;0;1;0
R2149;1;1;0
R2150;1;0;0
R2151;1;1;0
R2152;1;0;1
R2153;0;1;0
R2154;0;1;1
R2155;0;1;0
R2156;0;1;0
R2157;0;0;1
R2158;0;1;1
R2159;0;0;0
R2160;0;1;1
R2161;0;0;0
R2162;0;1;1
R2163;0;1;1
R2164;0;0;0
R2165;0;0;0
R2166;0;1;0
R2167;0;1;0
R2168;0;1;1
R2169;1;0;0
R2170;1;0;0
R2171;1;1;0
R2172;1;0;0
R2173;1;1;1
R2174;0;1;0
R2175;1;0;1
R2176;0;0;1
R2177;0;0;1
R2178;1;0;0
R2179;0;1;1
R2180;0;1;0
R2181;1;0;1
R2182;0;1;0
R2183;1;1;1
R2184;1;0;1
R2185;0;0;1
R2186;0;1;1
R2187;0;1;0
R2188;1;0;1
R2189;0;0;1
R2190;0;0;1
R2191;1;0;0
R2192;1;1;0
R2193;1;0;0
R2194;0;0;0
R2195;1;1;0
R2196;1;0;1
R2197;0;0;1
R2198;1;1;1
R2199;0;0;1
R2200;1;1;1
R2201;0;0;1
R2202;1;1;0
R2203;1;1;1
R2204;0;0;1
R2205;1;1;0
R2206;0;1;1
R2207;0;0;0
R2208;1;1;0
R2209;0;0;0
R2210;1;0;0
R2211;1;0;1
R2212;1;1;1
R2213;1;0;0
R2214;1;0;0
R2215;1;1;0
R2216;0;0;0
R2217;1;1;0
R2218;0;1;0
R2219;1;1;1
R2220;1;0;0
R2221;1;0;1
R2222;0;0;0
R2223;0;1;0
R2224;0;0;0
R2225;1;0;1
R2226;1;1;0
R2227;0;1;0
R2228;1;0;0
R2229;1;0;0
R2230;0;0;1
R2231;1;1;1
R2232;1;0;0
R2233;1;0;0
R2234;0;1;1
R2235;0;1;1
R2236;1;1;1
R2237;1;1;0
R2238;1;0;1
R2239;1;0;0
R2240;0;1;0
R2241;0;0;1
R2242;1;1;1
R2243;0;1;0
R2244;0;0;0
R2245;0;0;0
R2246;1;1;0
R2247;1;1;0
R2248;0;0;0
R2249;0;0;1
R2250;0;1;0
R2251;0;1;1
R2252;1;1;1
R2253;1;0;1
R2254;0;1;1
R2255;0;0;0
R2256;0;0;0
R2257;0;0;0
R2258;0;1;0
R2259;0;1;0
R2260;1;1;0
R2261;1;0;0
R2262;1;1;0
R2263;1;1;1
R2264;1;0;0
R2265;0;0;1
R2266;0;1;0
R2267;1;1;0
R2268;0;0;0
R2269;0;1;1
R2270;0;0;0
R2271;0;0;1
R2272;1;1;1
R2273;0;0;1
R2274;0;1;1
R2275;0;0;0
R2276;1;1;1
R2277;0;0;0
R2278;1;0;1
R2279;1;1;0
R2280;0;1;1
R2281;0;0;1
R2282;1;1;1
R2283;0;1;1
R2284;1;0;1
R2285;0;0;1
R2286;0;1;1
R2287;0;0;1
R2288;1;0;0
R2289;1;1;1
R2290;0;0;0
R2291;1;1;1
R2292;0;1;0
R2293;0;1;0
R2294;1;1;0
R2295;0;0;0
R2296;1;0;0
R2297;0;0;0
R2298;1;0;1
R2299;1;1;1
R2300;0;1;0
R2301;0;0;1
R2302;1;1;1
R2303;1;1;0
R2304;0;1;0
R2305;1;1;0
R2306;1;0;0
R2307;0;0;0
R2308;1;1;1
R2309;1;0;1
R2310;1;0;0
R2311;0;1;0
R2312;1;1;1
R2313;1;1;0
R2314;0;0;0
R2315;0;1;0
R2316;0;1;1
R2317;1;0;1
R2318;1;0;0
R2319;0;0;0
R2320;0;1;1
R2321;0;0;0
R2322;1;1;1
R2323;1;1;1
R2324;1;0;1
R2325;1;1;1
R2326;1;1;0
R2327;0;1;0
R2328;1;1;0
R2329;1;1;1
R2330;1;0;0
R2331;1;1;0
R2332;1;0;0
R2333;1;1;1
R2334;1;1;0
R2335;0;0;1
R2336;0;0;1
R2337;1;1;0
R2338;0;1;1
R2339;0;0;0
R2340;0;0;0
R2341;0;1;0
R2342;1;0;1
R2343;1;1;1
R2344;0;1;0
R2345;0;1;0
R2346;0;1;1
R2347;0;1;0
R2348;1;1;1
R2349;1;1;1
R2350;0;1;0
R2351;1;1;1
R2352;1;0;0
R2353;0;1;0
R2354;0;0;0
R2355;0;0;0
R2356;1;0;1
R2357;0;0;1
R2358;1;0;0
R2359;0;0;0
R2360;1;0;0
R2361;0;0;1
R2362;0;0;0
R2363;0;1;1
R2364;1;0;0
R2365;1;1;1
R2366;0;1;1
R2367;0;1;0
R2368;1;1;0
R2369;1;1;1
R2370;1;0;1
R2371;1;1;0
R2372;1;0;1
R2373;0;0;1
R2374;0;1;1
R2375;1;0;0
R2376;0;1;1
R2377;0;0;0
R2378;0;1;1
R2379;0;0;0
R2380;0;0;0
R2381;1;1;1
R2382;1;0;1
R2383;0;0;0
R2384;1;1;0
R2385;0;1;0
R2386;1;1;0
R2387;1;1;1
R2388;0;1;1
R2389;0;1;1
R2390;1;0;1
R2391;1;0;0
R2392;1;1;0
R2393;0;0;0
R2394;0;0;0
R2395;1;0;0
R2396;0;0;1
R2397;1;0;1
R2398;1;1;1
R2399;1;1;1
R2400;0;1;0
R2401;1;1;0
R2402;0;1;0
R2403;0;0;0
R2404;0;0;1
R2405;1;1;1
R2406;1;0;0
R2407;1;1;0
R2408;1;0;0
R2409;0;0;1
R2410;1;0;1
R2411;0;0;0
R2412;1;0;1
R2413;0;0;0
R2414;0;1;0
R2415;0;1;1
R2416;1;1;1
R2417;1;0;1
R2418;1;1;1
R2419;1;1;1
R2420;1;1;1
R2421;1;1;1
R2422;1;0;1
R2423;0;1;1
R2424;0;0;0
R2425;0;0;1
R2426;1;1;0
R2427;0;1;1
R2428;1;0;1
R2429;1;1;1
R2430;1;0;1
R2431;0;1;1
R2432;0;1;0
R2433;0;0;0
R2434;0;1;0
R2435;1;1;1
R2436;1;0;1
R2437;1;0;1
R2438;0;0;0
R2439;0;0;1
R2440;0;0;0
R2441;1;1;1
R2442;1;0;1
R2443;1;0;0
R2444;0;1;0
R2445;1;1;0
R2446;0;0;0
R2447;1;0;1
R2448;0;0;0
R2449;1;1;0
R2450;1;0;0
R2451;0;0;1
R2452;1;0;1
R2453;1;0;0
R2454;1;1;1
R2455;0;1;0
R2456;1;0;1
R2457;1;1;0
R2458;0;0;0
R2459;1;1;1
R2460;0;1;1
R2461;0;1;1
R2462;1;0;1
R2463;1;0;1
R2464;0;0;1
R2465;0;0;1
R2466;0;1;1
R2467;1;0;1
R2468;0;0;0
R2469;1;0;1
R2470;0;0;1
R2471;0;1;1
R2472;0;1;0
R2473;1;1;1
R2474;1;0;0
R2475;1;1;0
R2476;0;0;0
R2477;1;0;0
R2478;1;0;0
R2479;1;1;0
R2480;1;1;0
R2481;1;0;1
R2482;1;1;0
R2483;1;0;0
R2484;1;1;1
R2485;0;1;0
R2486;1;0;0
R2487;1;1;0
R2488;0;0;0
R2489;1;0;0
R2490;0;0;0
R2491;0;0;1
R2492;1;1;0
R2493;0;1;1
R2494;0;0;1
R2495;1;1;0
R2496;0;0;0
R2497;1;0;1
R2498;1;1;0
R2499;1;1;0
R2500;0;1;0
R2501;1;0;1
R2502;1;0;0
R2503;1;1;1
R2504;0;1;0
R2505;0;1;0
R2506;1;0;0
R2507;1;0;0
R2508;0;0;1
R2509;0;0;0
R2510;0;1;1
R2511;1;0;0
R2512;0;1;1
R2513;0;0;1
R2514;0;1;0
R2515;1;0;0
R2516;1;1;1
R2517;0;1;1
R2518;0;0;1
R2519;1;0;1
R2520;0;1;0
R2521;1;1;1
R2522;0;1;1
R2523;1;1;1
R2524;1;1;0
R2525;0;1;1
R2526;1;1;0
R2527;0;1;1
R2528;0;0;0
R2529;0;0;0
R2530;1;0;0
R2531;0;1;1
R2532;0;1;1
R2533;0;1;0
R2534;1;1;0
R2535;0;0;0
R2536;1;0;0
R2537;0;1;1
R2538;0;0;0
R2539;1;1;0
R2540;1;0;1
R2541;0;0;0
R2542;1;1;0
R2543;1;0;1
R2544;1;0;1
R2545;0;0;1
R2546;0;1;0
R2547;0;0;1
R2548;0;1;0
R2549;1;1;1
R2550;1;1;1
R2551;0;0;1
R2552;0;1;1
R2553;0;0;1
R2554;0;0;0
R2555;0;0;0
R2556;1;0;1
R2557;0;1;0
R2558;0;0;1
R2559;1;0;0
R2560;1;0;1
R2561;0;0;1
R2562;1;0;1
R2563;1;1;0
R2564;1;0;0
R2565;1;1;0
R2566;0;0;1
R2567;1;1;1
R2568;0;1;1
R2569;0;0;1
R2570;0;0;1
R2571;0;0;1
R2572;1;1;0
R2573;0;1;1
R2574;1;0;0
R2575;0;0;0
R2576;0;1;0
R2577;0;1;1
R2578;0;0;1
R2579;1;1;1
R2580;0;1;0
R2581;0;0;1
R2582;1;0;0
R2583;0;1;0
R2584;1;1;1
R2585;0;0;1
R2586;0;1;0
R2587;0;1;0
R2588;0;0;0
R2589;1;1;1
R2590;1;0;0
R2591;1;0;1
R2592;1;0;1
R2593;1;1;0
R2594;0;1;1
R2595;1;0;1
R2596;1;1;1
R2597;0;0;0
R2598;0;1;0
R2599;1;0;1
R2600;1;1;0
R2601;1;1;1
R2602;1;0;1
R2603;0;0;0
R2604;1;1;1
R2605;1;1;0
R2606;1;0;0
R2607;0;1;1
R2608;0;1;1
R2609;0;1;0
R2610;1;0;0
R2611;0;0;1
R2612;0;1;0
R2613;1;1;1
R2614;1;1;1
R2615;0;0;1
R2616;1;1;0
R2617;1;1;0
R2618;0;0;1
R2619;1;1;0
R2620;1;1;0
R2621;0;0;0
R2622;0;0;1
R2623;1;0;1
R2624;1;0;1
R2625;1;0;1
R2626;0;1;1
R2627;0;1;0
R2628;0;0;0
R2629;1;1;0
R2630;0;1;0
R2631;1;1;1
R2632;0;1;0
R2633;0;0;1
R2634;0;1;0
R2635;1;0;1
R2636;1;1;1
R2637;1;1;1
R2638;1;1;1
R2639;0;1;0
R2640;1;1;1
R2641;1;0;0
R2642;1;0;0
R2643;0;0;1
R2644;0;1;1
R2645;0;0;0
R2646;0;1;1
R2647;1;1;0
R2648;0;1;0
R2649;1;0;0
R2650;0;0;1
R2651;0;1;1
R2652;1;1;1
R2653;1;1;1
R2654;1;1;0
R2655;0;1;0
R2656;1;1;1
R2657;1;1;0
R2658;0;0;1
R2659;1;1;1
R2660;0;0;0
R2661;0;0;1
R2662;1;0;1
R2663;1;1;0
R2664;1;0;1
R2665;0;1;1
R2666;0;0;1
R2667;1;0;0
R2668;1;1;0
R2669;0;0;1
R2670;1;1;1
R2671;0;0;0
R2672;1;0;1
R2673;1;1;0
R2674;1;1;0
R2675;1;0;1
R2676;0;1;0
R2677;1;1;1
R2678;1;1;1
R2679;0;1;1
R2680;0;1;0
R2681;0;0;1
R2682;0;1;1
R2683;0;0;1
R2684;1;1;0
R2685;0;1;1
R2686;0;1;1
R2687;1;0;1
R2688;0;0;1
R2689;1;0;0
R2690;1;0;1
R2691;1;0;0
R2692;0;0;0
R2693;0;0;1
R2694;0;0;0
R2695;1;1;1
R2696;0;0;0
R2697;1;0;0
R2698;0;1;0
R2699;0;0;1
R2700;1;0;1
R2701;0;1;1
R2702;1;1;1
R2703;1;1;1
R2704;1;1;1
R2705;0;1;1
R2706;1;1;0
R2707;1;1;0
R2708;0;0;0
R2709;0;1;1
R2710;0;1;0
R2711;1;0;1
R2712;0;1;1
R2713;1;0;1
R2714;1;0;0
R2715;0;1;1
R2716;1;1;1
R2717;1;0;0
R2718;1;0;1
R2719;0;1;1
R2720;1;1;0
R2721;0;0;1
R2722;1;0;1
R2723;1;1;1
R2724;1;1;0
R2725;1;0;0
R2726;1;0;0
R2727;0;1;1
R2728;0;0;1
R2729;1;0;0
R2730;0;1;0
R2731;0;0;0
R2732;0;0;0
R2733;0;1;0
R2734;1;0;1
R2735;1;1;0
R2736;0;0;0
R2737;0;1;0
R2738;1;0;1
R2739;0;0;1
R2740;1;0;1
R2741;0;0;0
R2742;1;0;0
R2743;1;0;1
R2744;0;0;1
R2745;1;1;0
R2746;0;0;1
R2747;1;1;1
R2748;0;0;0
R2749;1;0;1
R2750;1;1;1
R2751;0;1;1
R2752;0;1;0
R2753;1;1;0
R2754;0;1;0
R2755;0;0;1
R2756;0;1;1
R2757;1;0;1
R2758;0;1;1
R2759;0;0;0
R2760;1;0;0
R2761;1;1;0
R2762;0;1;1
R2763;1;0;0
R2764;1;1;0
R2765;0;1;0
R2766;1;0;1
R2767;1;1;0
R2768;1;1;0
R2769;1;1;0
R2770;0;0;1
R2771;0;1;0
R2772;1;1;0
R2773;0;1;1
R2774;0;0;0
R2775;1;1;0
R2776;1;0;0
R2777;0;1;1
R2778;1;1;1
R2779;0;1;0
R2780;0;0;0
R2781;1;0;1
R2782;0;1;1
R2783;0;1;1
R2784;0;0;1
R2785;0;0;0
R2786;0;1;0
R2787;0;0;1
R2788;0;0;1
R2789;1;1;0
R2790;1;0;1
R2791;1;1;0
R2792;0;1;0
R2793;1;0;0
R2794;1;0;0
R2795;1;0;0
R2796;0;1;1
R2797;0;0;1
R2798;1;0;1
R2799;1;0;0
R2800;1;1;0
R2801;1;0;0
R2802;0;0;1
R2803;1;0;0
R2804;0;1;0
R2805;0;1;1
R2806;0;0;0
R2807;1;0;0
R2808;1;0;0
R2809;0;1;0
R2810;1;1;1
R2811;1;0;0
R2812;1;0;1
R2813;0;1;1
R2814;0;0;1
R2815;1;0;1
R2816;1;0;1
R2817;0;0;0
R2818;0;0;0
R2819;1;0;1
R2820;1;0;0
R2821;1;1;0
R2822;1;0;1
R2823;0;0;0
R2824;1;1;0
R2825;0;0;0
R2826;1;0;1
R2827;1;0;0
R2828;1;0;0
R2829;1;0;0
R2830;1;1;0
R2831;1;1;0
R2832;1;1;0
R2833;1;0;1
R2834;1;0;0
R2835;1;0;1
R2836;0;1;0
R2837;1;0;1
R2838;0;0;1
R2839;0;0;1
R2840;1;1;1
R2841;0;0;0
R2842;1;1;0
R2843;1;0;1
R2844;0;1;1
R2845;1;1;1
R2846;1;0;0
R2847;1;1;1
R2848;0;1;0
R2849;1;1;1
R2850;1;0;1
R2851;0;1;1
R2852;1;0;1
R2853;0;0;0
R2854;0;1;1
R2855;0;1;0
R2856;1;1;1
R2857;1;0;0
R2858;0;0;0
R2859;1;1;1
R2860;1;1;1
R2861;0;1;1
R2862;1;1;1
R2863;0;0;1
R2864;1;0;1
R2865;0;1;0
R2866;1;0;0
R2867;0;1;0
R2868;1;0;1
R2869;0;1;0
R2870;0;0;1
R2871;1;0;1
R2872;0;1;1
R2873;0;1;1
R2874;1;0;0
R2875;1;0;1
R2876;1;0;1
R2877;0;1;1
R2878;1;0;0
R2879;0;0;0
R2880;0;0;1
R2881;0;0;1
R2882;0;1;1
R2883;1;0;1
R2884;0;1;0
R2885;0;1;1
R2886;0;1;0
R2887;0;0;0
R2888;0;0;0
R2889;1;0;1
R2890;1;0;1
R2891;1;0;1
R2892;1;0;0
R2893;0;1;1
R2894;1;0;0
R2895;0;0;1
R2896;0;1;1
R2897;1;1;1
