eye_right_x,eye_right_y,sex,mouth l_y,mouth l_x,nose_x,nose_y,id,eye_left_x,eye_left_y,city,confidence,pose_pitch,emotion_calm,boundingbox_size_width,combined_age_guess,smile,mouth r_y,mouth_l_x,mouth_l_y,mouth_r_x,mouth_r_y,pose_roll,mouth r_x,emotion_angry,boundingbox_size_height,mouth_open_wide,emotion_sad,emotion_confused,emotion_happy,boundingbox_tl_y,boundingbox_tl_x,emotion_disgust,age,combined_gender_guess,eye_closed,pose_yaw,emotion_surprised,glasses
88.7,61.9,0.05,87.3,44.2,70.2,69.7,6a0e203c600e11e39ed7120829958d13_5.jpg,54.6,48.5,moscow,1,15.43,,84.62,24.6666666667,0.01,97.4,44.2,87.3,69,97.4,20.34,69,,84.62,0.15,0.42,0.07,,22.31,26.15,,16.47,0.0,0.01,19.27,0.22,0.94
75,34.7,0.17,49,63.8,68,42.5,8eab917e609811e39f9612ede1e5c0fe_5.jpg,61.6,35.9,ny,1,-2.87,0.01,42.31,24.6666666667,0.74,48.1,63.8,49,74.8,48.1,-6.01,74.8,,42.31,0.13,0.03,,0.96,18.46,46.92,,29,0.0,0,-7.15,,0
77.8,43.7,0,83.4,59.3,67.1,61.4,79b5aac261ef11e3ae7e124fce6320e0_5.jpg,48.6,51.9,berlin,1,3.57,0.12,77.69,33.3333333333,0,75.3,59.3,83.4,85,75.3,-17.23,85,,77.69,0,0.11,,0.18,16.92,26.92,,25.27,0.0,0,-7.48,,0.01
112.1,54.8,0.81,88.5,79.1,94.4,78.4,4632e4325e2d11e3a4ae12619af51d38_5.jpg,76.3,54.3,bangkok,1,-12.55,0.08,87.69,18.6666666667,0.94,90.3,79.1,88.5,105.5,90.3,0.05,105.5,0.01,87.69,0,,,0.82,20.77,47.69,,24.66,1.0,0,12.47,,0
46.9,25.7,0.99,51.6,37.8,42,41.1,68ed54a8604411e38438123fa8fd8529_5.jpg,28.6,31.6,bangkok,1,-7.27,,53.08,27.3333333333,0.65,46.3,37.8,51.6,53.5,46.3,-18.09,53.5,,53.08,0,0.37,,0.2,6.92,14.62,,24.07,1.0,0.98,-2.18,0.03,0.97
94.4,66.8,0.85,82.4,63.6,73.9,74.7,21d966be5e9211e3b9060e0eee734f32_5.jpg,68.7,57.2,sao_paulo,0.68,-1.17,0,61.54,18.0,0.97,89.5,63.6,82.4,84.5,89.5,24.26,84.5,,61.54,0.15,0.02,,1,44.62,50.77,,22.9,1.0,0,-20.36,,0.87
36.9,14.2,0,63.1,45.4,35.3,43.4,1a353f1660d411e3b48012bfafc99cef_5.jpg,15.3,38.5,sao_paulo,1,5.11,,80,22.3333333333,0,47.7,45.4,63.1,58.3,47.7,-47.71,58.3,,80,0.33,0.55,0.18,0.13,-2.31,-4.62,,18.37,0.0,0,-21.67,,0.82
42.6,24.1,0,32.8,31.3,37.9,30,67a23d425d8e11e399ce124cd4f2543b_5.jpg,32.2,21.4,moscow,1,-6.88,0.01,30,28.0,0.76,35,31.3,32.8,41.2,35,14.22,41.2,,30,0,0.07,,1,11.54,22.31,,17.4,0.0,0,17.05,,0.1
95.5,41.2,0,57.3,77.7,87.8,49.5,1a6adec65f8211e3bfe2124c49cf34ce_5.jpg,76.2,39.4,sao_paulo,1,4.09,0.39,46.92,22.0,0.84,59,77.7,57.3,90.3,59,5.63,90.3,,46.92,0.01,0.04,,0.44,23.08,63.08,,21.57,0.0,0,23.05,,0
102.2,53.8,0,90.6,60.4,77.1,77.8,3f4d1d34627b11e38e9b0e837b4b9c28_5.jpg,59.3,46.9,bangkok,1,-8.8,0.02,97.69,18.0,0.98,93.7,60.4,90.6,91,93.7,9.93,91,,97.69,0,,0.03,0.94,13.08,30,,17.03,0.0,0,-4.49,,0
84.8,43.9,0.72,75.7,62.8,75.2,62.1,320c4e9a610b11e383b112c72e2865fd_5.jpg,57.7,42.8,bangkok,1,-3.49,,73.85,22.3333333333,0.34,74.7,62.8,75.7,84.3,74.7,1.39,84.3,,73.85,0.1,0.16,,0.53,16.15,34.62,0.01,22.39,1.0,0.01,12.17,,0
104.3,51.1,0.01,67.9,87.9,95.4,61.1,7bc0afdc60e711e38c8c12afb5ad8ea8_5.jpg,87.4,51.5,bangkok,1,-2.68,,38.46,28.0,0.99,67.9,87.9,67.9,102.8,67.9,-2.17,102.8,0.02,38.46,0.73,,0,0.99,37.69,76.15,,21.96,0.0,0.03,-2.3,,0
61.2,33.8,0,74.1,49.3,55.6,58.9,6dd46af65f4011e398920ee3b99546be_5.jpg,33.2,46.3,moscow,1,-11,,80,29.0,0.61,62.6,49.3,74.1,74,62.6,-24.42,74,0.02,80,0,0.09,,0.41,7.69,11.54,,14.05,0.0,0,-6.42,,0.03
73.6,44.8,1,54.4,65.8,68.5,49.3,810def0c5e6411e38fb40e81cad9c168_5.jpg,65,44.5,bangkok,0.98,5.63,0.27,27.69,27.0,1,54.5,65.8,54.4,72.6,54.5,1.81,72.6,,27.69,0,,,0.94,33.08,54.62,,22.2,1.0,0.05,-13.02,0.01,0
92.6,77,0.88,103.6,70.1,79.7,88.1,1c3e770a61ec11e3bd98126c9a75e18a_5.jpg,65.4,76.9,ny,1,7.38,0.25,66.15,25.0,0.51,104.4,70.1,103.6,88.9,104.4,-0.5,88.9,,66.15,0,,0.06,0.05,49.23,46.15,,30.38,1.0,0,9.8,,0
90.7,69.5,0.78,97.2,71.9,77.1,88.1,24f9daf0606c11e3b1cf12d170e743f9_5.jpg,65.1,73.1,sao_paulo,1,-7.48,,69.23,25.0,0.2,96.1,71.9,97.2,89.4,96.1,-8.98,89.4,0.24,69.23,0.02,,0.06,0.03,45.38,43.08,,21.83,1.0,0,-14.46,,0
92.4,20.6,0.05,47,54.7,70.4,37,0432abf2607c11e384d312f739c0d23a_5.jpg,60.4,14.5,sao_paulo,1,-6.13,,77.69,21.3333333333,0.1,51.8,54.7,47,78.3,51.8,9.1,78.3,,77.69,0,,0.14,0.17,-9.23,33.08,,27.05,0.0,0,7.67,0.29,0.77
58.1,55.5,1,73.5,36.8,48.1,68.2,0e87243261dc11e3a8d212b56696dd6d_5.jpg,38.2,53.3,berlin,1,-12.66,,48.46,34.3333333333,0.96,76,36.8,73.5,53.4,76,5.85,53.4,,48.46,0.01,,0.03,0.96,37.69,23.85,,26.2,1.0,0,18.13,0.03,0
69.2,17.3,0.45,51.8,69.4,61.1,33.6,8a591bc4611e11e3962312f43f382231_5.jpg,50.3,28,ny,0.08,17.61,,71.54,24.6666666667,0.99,40.2,69.4,51.8,87.1,40.2,-30.52,87.1,,71.54,0.02,0.12,0.08,0.49,-5.38,30.77,,32.82,0.0,1,-44.44,,0.01
84.1,38.1,1,61.8,58.9,70.8,51.2,6a28898c5ec811e3b1a41225198f21ef_5.jpg,58.4,36.3,sao_paulo,1,-0.29,0.12,70.77,33.0,1,62.7,58.9,61.8,80.9,62.7,3.87,80.9,,70.77,0.08,,0.16,0.88,9.23,34.62,,38.04,1.0,0,2.89,,1
46.7,12.1,0,30.1,40.1,44.1,24.7,1207e31c5f9311e3928a12a9c5d9c22f_5.jpg,34.2,17.7,sao_paulo,1,-18.53,,36.92,26.6666666667,0.62,25.5,40.1,30.1,50.6,25.5,-25.18,50.6,0.02,36.92,0.34,0.11,,0.97,0.77,23.08,,18.37,0.0,0.09,3.85,,0
90.3,77.7,0.02,116.9,57,69,96.8,29262218625c11e3a3b2126e39eb46bb_5.jpg,53.4,76.9,moscow,1,9.37,0.18,94.62,27.6666666667,0,118.5,57,116.9,90.6,118.5,1.2,90.6,,94.62,0,0.05,0.04,,42.31,25.38,,31.14,0.0,0,-9.7,,0
69.1,73.7,0.89,111.4,70.2,70.2,92.5,1d7681e6618b11e3a9720e7aedef815c_5.jpg,45.5,87,sao_paulo,0.35,4.71,,75.38,19.3333333333,0,101.9,70.2,111.4,87,101.9,-31.34,87,0.09,75.38,0.05,0.17,0.05,,46.92,30.77,,49.1,0.0,1,15.84,,0.01
64.8,107,0,123.1,46.9,56.6,115.5,539cbb16602611e38fb612064f8bfb61_5.jpg,45.3,106.7,ny,1,2.58,0.02,46.92,26.6666666667,0.98,122.8,46.9,123.1,64.2,122.8,0.01,64.2,0.01,46.92,0.01,,,0.99,87.69,31.54,,24.96,0.0,0,8.35,,0
105.8,56.7,0.32,76.5,94.8,99.9,66.7,552d13865e6911e3be071265523e6823_5.jpg,91,57.7,bangkok,0.36,0.02,,60,19.6666666667,0.06,74.4,94.8,76.5,109.1,74.4,-6.35,109.1,,60,0.01,0.12,,0.22,34.62,65.38,,37.69,0.0,0.97,-4.37,0.05,0.25
103.4,41.1,0,49.7,76.2,92.3,45.2,57a0053e61d811e39120125915e24b8e_5.jpg,84.7,30.5,sao_paulo,1,12,,56.92,19.3333333333,0.99,59.4,76.2,49.7,92.7,59.4,29.28,92.7,,56.92,0.93,0.08,0,0.98,13.85,61.54,,14.85,0.0,0,23.37,,0
91.3,86.6,0.99,113.1,68.4,77.8,99,1e9f509a60a311e39b8c12e1ca8d9d0e_5.jpg,67.6,86.8,bangkok,1,4.08,,62.31,34.0,0.94,113.6,68.4,113.1,90.5,113.6,-0.64,90.5,,62.31,0.13,,0.02,0.95,63.85,47.69,0.01,41.26,1.0,0.11,-6.27,,1
82.2,41.3,0.1,55.4,62,69.2,47.1,013e49c4610811e398340e436ac9b6dd_5.jpg,65.7,36.7,bangkok,1,2.78,,45.38,25.0,0.65,59.2,62,55.4,74.5,59.2,16.21,74.5,,45.38,0,0.37,0.04,0.94,23.08,50.77,,18.97,0.0,0,-17.18,,0
88.1,64.9,1,99.7,64.5,80.9,85.1,7e5343c4600911e39b211278b2db33a8_5.jpg,59.2,66,bangkok,1,-5.91,0.02,76.92,22.0,0.71,97.6,64.5,99.7,87.9,97.6,-3.31,87.9,,76.92,0,,0.2,0.85,35.38,36.15,,28.02,1.0,0,23.92,,0
95.4,64.2,1,97.6,70.3,84.6,84.3,6256a0f260fa11e3b8450e8c3b5b71be_5.jpg,63.7,68,berlin,1,-9.08,,80.77,28.3333333333,0.99,94.5,70.3,97.6,96.5,94.5,-5.28,96.5,,80.77,0.03,,0.03,0.94,36.15,42.31,0.04,30.93,1.0,1,19.53,,0
67.7,30.7,0.99,41.7,58.7,62.5,36.2,c95f5ea65e8911e3be071265523e6823_5.jpg,58.3,30.2,ny,1,6.1,0.01,28.46,22.1666666667,0.1,42.2,58.7,41.7,66.4,42.2,2.33,66.4,,28.46,0.01,0.58,,0.42,19.23,48.46,,26.17,1.0,0.99,-4.4,,0
91.4,50.1,0,77.3,64.9,73.2,61,054904fe5f8d11e396ca123a32d64061_5.jpg,63.6,49.7,moscow,1,13.11,0.01,74.62,31.0,0.9,78.7,64.9,77.3,86.6,78.7,1.19,86.6,,74.62,0.53,,,0.95,19.23,40,0.01,24.07,0.0,0.99,-18.89,,0
89.1,65.4,0.54,85.9,71.1,79.7,76.4,9d6fc83c62a111e3bbc612a400ee52df_5.jpg,69.9,65.6,bangkok,1,-0.43,,50,17.6666666667,0,87,71.1,85.9,86.2,87,-1.2,86.2,,50,0.02,0.25,0.15,,47.69,53.08,,31.65,1.0,0,6.98,0.35,0
61.4,35.4,0.05,57.3,30.4,45,47.6,9ea1e9005f9b11e3be76120767b6cfad_5.jpg,32.8,28.8,berlin,1,-0.74,,63.85,33.3333333333,0.97,61.5,30.4,57.3,55.8,61.5,14.97,55.8,0.15,63.85,0.94,,,0.91,9.23,15.38,,27.81,0.0,0,2.8,0.15,0
83.6,33.1,0.71,45.1,48.4,62,35.5,4122b89e60dc11e39f5d1216726e22b2_5.jpg,61.1,21.4,ny,1,8.9,,57.69,23.3333333333,0.92,55.3,48.4,45.1,65.9,55.3,28.65,65.9,,57.69,0.02,0.17,,0.73,3.85,37.69,,34.68,0.0,0,-27.31,0.02,0
114.2,42.2,0,71.4,93.4,100.8,58.7,fd8ee27a5fa411e3bb0e1278ed1a3b5d_5.jpg,88,46.3,ny,0.99,0.39,0,73.85,24.3333333333,1,67.2,93.4,71.4,117,67.2,-7.52,117,,73.85,0.97,,0.01,1,16.15,68.46,,18.13,0.0,0.03,-13.38,,0.24
86.3,59.5,0.02,85.2,62.8,74,75.6,1cc7916c60b511e3842f1226673eaad5_5.jpg,60,59.7,berlin,1,-10.74,0.01,56.15,24.0,0.99,85,62.8,85.2,85.3,85,-1.03,85.3,,56.15,0,0.05,,1,43.08,44.62,,15.37,0.0,0.01,2.1,,0.04
98.6,42.8,0.2,69.6,72.8,84.7,61.7,4cfb73aa60d611e3b56f1243d5ae15de_5.jpg,73.3,42.1,bangkok,0.64,-15.89,,61.54,20.6666666667,0,71.1,72.8,69.6,89.4,71.1,0.48,89.4,0.1,61.54,0.03,,,,20.77,55.38,0.11,23.86,0.0,0.01,20.75,0.09,1
128.5,91.4,0.01,107.2,111.5,121.9,97.4,18a8b97c619011e39e3812c048d57f22_5.jpg,111.1,88.5,berlin,1,12.47,,46.92,24.5,0,109.4,111.5,107.2,124.9,109.4,9.31,124.9,,46.92,0.03,0.65,,0.02,70.77,96.15,0.02,29.26,0.0,0,22.37,,0.13
82.3,60.3,0.09,90.8,57.2,69.5,79.2,7b9b8a425e5111e3ab9a126ea4147b56_5.jpg,54.2,61.8,bangkok,1,-7.75,,77.69,15.6666666667,0.94,90.8,57.2,90.8,81.1,90.8,-3.88,81.1,,77.69,0,,0.05,0.88,32.31,30,,26.95,0.0,0,3.93,0.1,1
70.1,52.9,0.35,72.7,75.4,68.2,65,48d8295c5ebb11e388d00a591398d939_5.jpg,63.1,62.5,berlin,0.96,9.37,0.01,39.23,23.6666666667,0.94,65.3,75.4,72.7,80.2,65.3,-47.76,80.2,,39.23,0.01,0.27,,0.77,36.15,48.46,,28.56,1.0,0.31,-51.31,,0
79.9,50.7,0.53,75.9,66.4,72.8,65,36661f10609411e3a15a122f9a2ebb17_5.jpg,60,54,bangkok,0.79,-0.84,,48.46,19.0,0.49,73.7,66.4,75.9,79.8,73.7,-10.72,79.8,0.11,48.46,0.03,,0.15,0.42,33.85,46.15,,31.73,0.0,0,9.23,,0
91.4,66.4,1,93.2,63.2,74,78.9,39f5ce6a5d9611e398be0a56c26576e4_5.jpg,64,64.8,sao_paulo,1,8.91,,76.92,24.6666666667,0.97,94.8,63.2,93.2,89.8,94.8,3.74,89.8,,76.92,0.98,0.01,0.03,0.99,36.15,38.46,,30.71,1.0,0,-23.22,,0
68.8,42.9,0.07,84.5,26.8,43.7,59.9,0a8a26a65dbb11e38ce00e7f19e5af3a_5.jpg,30,42.1,bangkok,0.11,12.66,,86.15,20.0,0.66,86.5,26.8,84.5,60.4,86.5,1.11,60.4,0.05,86.15,0.88,,0.29,,16.15,10.77,,15.47,0.0,0,-7.5,0.79,0.96
92.9,43,0,71.5,66.4,77.8,62,5ddbe128629811e3886b0e70ff76d02d_5.jpg,64.7,41.8,ny,1,-12.58,,61.54,21.3333333333,0.92,72.7,66.4,71.5,89.8,72.7,2.09,89.8,,61.54,0.08,,0.08,0.94,19.23,46.15,,21.68,0.0,0,-0.42,0.01,0
90.8,67.8,1,103.8,61,75.2,89.5,d8ab111a5f7f11e3b4f212fe7764450a_5.jpg,60.6,66.6,berlin,1,-8.86,0.86,92.31,20.3333333333,0.52,104.8,61,103.8,86.6,104.8,1.59,86.6,,92.31,0,,0.1,0.19,34.62,28.46,,27.8,1.0,0,2.29,,0.01
77.3,66.8,0.07,96.1,69.6,75.7,83,02d22eac5d3b11e385b512c1cb739830_5.jpg,57.8,76.4,sao_paulo,1,-7.58,,66.92,27.6666666667,0.57,88,69.6,96.1,85.1,88,-27.97,85.1,,66.92,0,0.05,,0.94,43.85,36.15,,33.72,0.0,0,15,0.01,0
140.6,72.7,0.06,96.6,108.2,128.4,91.1,286b7eae5fe611e3a8e40e69ecfef5e8_5.jpg,110.8,67.2,moscow,1,-16.45,,69.23,27.6666666667,0.92,100.6,108.2,96.6,133.4,100.6,10.8,133.4,0.01,69.23,0,,0,1,46.92,86.15,,25.11,0.0,0,30.54,,0
66.8,57.5,0,86.2,41.5,51,73.5,626911985feb11e399761229147967f5_5.jpg,37.5,57.7,ny,1,-7.54,0.01,73.85,25.3333333333,0.96,85.8,41.5,86.2,64,85.8,-0.49,64,,73.85,0,0.08,,1,30.77,16.15,,20.34,0.0,0,-10.69,,0
87.3,62.9,0,92.3,64,74.7,81.7,8cd155025dd011e39215126ec9cc2d36_5.jpg,60.8,64.1,berlin,1,-9.28,0.43,77.69,19.0,0.83,91.7,64,92.3,85.4,91.7,-3.25,85.4,,77.69,0,0.02,,0.76,33.08,36.15,,31.03,0.0,0,3.44,,0.01
90.1,90,0.09,125,60,74.4,111.6,05afff3a5f4a11e399870efab18728e7_5.jpg,56.7,88.8,sao_paulo,1,-7.94,0.15,76.92,21.0,0.36,123.3,60,125,85.9,123.3,1.76,85.9,,76.92,0.01,,0.37,0.14,63.08,35.38,,25.27,0.0,0,1.66,,0.02
88,35.1,0.55,55.7,76,80.6,50.2,f808c466611011e3bedb1231ba1c5001_5.jpg,71.7,37.6,berlin,1,-18.14,,46.92,23.3333333333,0.98,54.7,76,55.7,88.7,54.7,-8.4,88.7,0.01,46.92,0.01,0.01,,0.99,20,57.69,,32.78,1.0,0.02,-5.46,,0.03
96.1,48.2,0,72,75,89,63.7,07a38ed25d0c11e3ab2b12f292af6a15_5.jpg,74.8,49.3,bangkok,1,-9.28,,60.77,15.3333333333,0.99,72.4,75,72,91.1,72.4,-5.1,91.1,,60.77,0.67,,0,0.99,27.69,53.85,,21.34,0.0,0,38.85,0.02,0
73,12.7,1,22.3,62.4,69,16.6,3b3608865fde11e3a0b11203d828c6cf_5.jpg,63.8,10,moscow,1,12.96,,33.08,24.6666666667,0.99,23.8,62.4,22.3,68.7,23.8,14.89,68.7,,33.08,0,0.04,0.05,1,-3.08,50.77,,23.4,1.0,0.99,33.75,,0
105.1,83.4,0.01,119.5,71,90.4,105.2,880b46a861a511e3928d12ca4fdf17b7_5.jpg,71,79.3,ny,1,-6.23,,84.62,38.0,0.21,120.5,71,119.5,97.3,120.5,5.87,97.3,,84.62,0.1,0.08,0.06,0.6,50.77,43.85,,33.28,0.0,0,20.89,,0
72.1,39.2,0.68,57,59.1,69.3,43.2,56f003145eb311e399bb122faec0aa0b_5.jpg,55.4,37.5,bangkok,1,20.45,0.06,48.46,21.1666666667,0.49,58.1,59.1,57,73.7,58.1,4.12,73.7,,48.46,0,0.03,,0.54,19.23,40.77,,30.19,1.0,0.94,39.28,,0
79.5,21.9,0,35.3,71.3,74.7,29.1,4f7955925d0d11e38215122b6fa72a6e_5.jpg,68.8,23,moscow,1,-2.08,,30,21.0,0,34.3,71.3,35.3,78.9,34.3,-6.37,78.9,,30,0,0.81,,0.82,10.77,60,,25.59,0.0,0.15,2.37,0.01,0
67.4,10.5,0,49.6,43.1,48.7,22.8,2f5023fe5e7f11e39e6c122aa7b9c56f_5.jpg,36.6,19.3,sao_paulo,1,24.04,,72.31,24.3333333333,0.1,42.6,43.1,49.6,70.1,42.6,-15.12,70.1,,72.31,0.01,0.03,,0.18,-6.92,17.69,,18.89,0.0,0.01,-21.44,0.08,0
73.8,49.8,0.97,72.3,52.6,65.2,56.4,a626c01662f611e386c1122c38b2d630_5.jpg,49.1,49.5,ny,0.99,12.97,0.06,65.38,24.6666666667,0.68,72.2,52.6,72.3,72.5,72.2,-0.61,72.5,,65.38,0.18,,0.12,0.92,26.15,29.23,,41.18,1.0,1,24.2,,0.14
91,46.1,0.01,73.5,72.7,83.8,61.2,7e6895aa61f611e399ea124c84cba47c_5.jpg,67.7,51.5,ny,1,0.57,0.01,52.31,23.3333333333,0.99,70,72.7,73.5,92.2,70,-15.54,92.2,,52.31,0.62,,,0.97,29.23,56.15,,22.73,0.0,0.01,19.93,0.01,0
42.5,59.4,0.14,63.1,24.4,31.6,62.4,71d2d3525ea211e39b1912477b2023c1_5.jpg,31.2,51.2,bangkok,0.92,-10.38,,37.69,17.3333333333,0.96,69.5,24.4,63.1,33.2,69.5,35.09,33.2,,37.69,0.02,0.03,,0.75,40.77,16.15,0.06,21.17,0.0,0,0.05,,0
43.8,74.3,0.84,99.8,16.2,27.4,86.9,044655485e8411e38d2d124f5a37a0a1_5.jpg,17.7,69,bangkok,0.99,1.87,,72.31,20.6666666667,0.4,101.2,16.2,99.8,37.8,101.2,11.47,37.8,,72.31,0,0.13,,0.12,45.38,-10,,13.43,0.0,0.01,-19.52,0.28,1
91.8,49.2,0,96.2,78.8,86.1,76,4df8b3c2615711e39a6012aa0e6b9648_5.jpg,58.1,67.2,sao_paulo,0.99,-14.32,,94.62,22.6666666667,0.47,82.5,78.8,96.2,104.6,82.5,-34.69,104.6,0.03,94.62,0,,0.21,,20,37.69,,23.83,0.0,0,3.51,0.04,0
90.9,34.5,0,79.6,59.1,68.8,66,670795545e0011e3a33e1264bd1e5b12_5.jpg,52.6,37.7,ny,0.98,-13.34,0.04,100.77,21.3333333333,0.07,78.2,59.1,79.6,89.9,78.2,-4.45,89.9,,100.77,0,0.15,,0.06,4.62,24.62,,15.73,0.0,0,-14.01,,0.93
98,50.5,0.03,72.8,61.6,73.3,65.5,23e9601c5f5f11e3a96712b7b8d9156b_5.jpg,68,37.9,moscow,0.98,-11.33,,80.77,27.0,0.25,82.3,61.6,72.8,84.7,82.3,22.86,84.7,,80.77,0.01,0.04,0.15,0.51,13.85,40,,16.54,0.0,0,-12.35,,0
92.4,33.1,0.01,61.1,58.8,77.7,53,58387c8860f211e3ab71120275a1e6b3_5.jpg,60.5,28.1,berlin,0.99,-9.97,,79.23,19.6666666667,0.96,64.3,58.8,61.1,84.6,64.3,8.67,84.6,,79.23,0.02,0.06,,0.96,4.62,32.31,,21.84,0.0,0,14.36,0.02,0.72
98.3,70,0.98,111.9,59.6,78.6,92.7,55555632629911e382260a0c58a2d6e3_5.jpg,55.3,70.3,sao_paulo,0.99,-4.57,,110.77,20.3333333333,0.82,110.6,59.6,111.9,95.2,110.6,-0.98,95.2,,110.77,0,,0.02,0.51,30,24.62,,29.98,0.666666666667,0.93,1.07,0.02,1
78.1,41.9,0,75.9,74.2,78.3,56.8,4e6574185e5411e3a27d122421dbd760_5.jpg,56.2,54.9,moscow,1,-0.46,0.1,67.69,24.6666666667,0.29,65.6,74.2,75.9,89.7,65.6,-33.75,89.7,,67.69,0,0.3,,0.34,20.77,35.38,,17.67,0.0,0,26.4,,0
69.3,17.1,0.06,41.1,41.1,51.5,34,9e0104de624511e3a58b0e76d35d513f_5.jpg,39,13.3,berlin,1,-7.43,,66.15,23.3333333333,0.99,44,41.1,41.1,66.7,44,8.37,66.7,,66.15,0.52,,0.02,0.99,-3.08,19.23,,15.26,0.0,0,-14.36,0.01,0
73.2,44.1,1,56.2,60.2,67.5,48.7,1ddfe790610d11e3918a121a8d05b8dd_5.jpg,61,43.8,sao_paulo,1,15.14,0.02,35.38,24.0,1,56.9,60.2,56.2,72.3,56.9,1.11,72.3,0.07,35.38,0.02,,,0.97,29.23,49.23,,27.96,1.0,0,7.78,,0
78.4,52.5,0.03,64.1,64.5,70.2,58,7e74719e5e7311e3a1950ac36a851dff_5.jpg,64,50.6,ny,1,5.26,,36.92,15.6666666667,0.72,65.4,64.5,64.1,74.9,65.4,8.92,74.9,,36.92,0.11,0.09,,0.74,37.69,53.08,,16.95,0.0,0,-4.69,0.02,0
125.4,56.8,0,52,75.3,95.1,61.7,3cf25a0c61a611e38cc11272270ba361_5.jpg,97.5,29.9,sao_paulo,1,-16.14,,99.23,12.3333333333,0.99,76.8,75.3,52,100.7,76.8,44.09,100.7,,99.23,0.06,0.03,,0.98,1.54,54.62,,15.34,0.0,0,12.01,0.29,0
52.1,49.8,0,69.2,30.2,37.4,61.7,44037364606e11e38f631228c215d9c2_5.jpg,29.2,45.8,moscow,1,-10.77,,55.38,19.0,0.89,71.3,30.2,69.2,46.2,71.3,11.35,46.2,,55.38,0,,0.02,0.67,27.69,13.85,,15.06,0.0,0,-11.26,0.08,0
77.1,53.2,0,87.3,46.2,66.1,67.2,1db345d05d3111e3be511244bbeab6f1_5.jpg,42.2,52.7,sao_paulo,1,8.77,,106.15,33.6666666667,0.14,88.6,46.2,87.3,72,88.6,-0.94,72,,106.15,0,0.06,0.04,0.61,14.62,10,,22.28,0.0,0.11,31.68,,1
92.5,52.1,0,78.2,67.2,77.9,71.3,5cda3dd65da911e3bd230a26c88f7963_5.jpg,63.1,50.8,sao_paulo,1,-15.25,,73.85,20.3333333333,0.98,79.3,67.2,78.2,88.8,79.3,2.23,88.8,,73.85,0.4,,,0.97,23.08,40.77,0.01,23.02,0.0,0,0.83,0.11,0
59.6,14.5,0,54.8,56.5,50.4,42.3,22fb9fa8611711e395c40e318e690f28_5.jpg,36.2,28.5,ny,0.98,-8.48,0.01,67.69,24.3333333333,0.94,42.7,56.5,54.8,75.1,42.7,-29.22,75.1,,67.69,0.17,0.05,,0.99,-6.15,17.69,,18.37,0.0,0,-49.16,,0
74.1,67.3,0.66,107.4,38.8,52.1,84.5,38b889f25e9511e38d4a12ce45a5fafa_5.jpg,38.1,69.1,sao_paulo,1,14.31,,110,25.3333333333,0.61,105.4,38.8,107.4,78.2,105.4,-2.47,78.2,,110,0.86,0.03,,0.1,26.92,3.85,,29.44,0.666666666667,0.9,-21.31,0.29,1
117.8,31.1,0.77,55.3,96.6,101.6,40.8,056198d25daa11e3b07a0ac91d8410af_5.jpg,95.5,33.7,moscow,1,10.2,0.04,56.92,31.3333333333,0.05,53.4,96.6,55.3,115.2,53.4,-7.21,115.2,,56.92,0,0.44,,0.55,10.77,77.69,,14.3,1.0,1,-28.34,,0
97.2,62.2,0.26,98,56,75.9,77.8,480cb7625d5e11e3aa541246dad9fc32_5.jpg,62.3,53.1,bangkok,1,2.79,,93.85,21.0,0.87,102.2,56,98,81.9,102.2,14.35,81.9,,93.85,0.96,0.03,,0.64,23.85,25.38,,22.41,0.666666666667,0,4.62,0.03,0.01
131.5,72.2,0,103.6,108.4,118.1,85.6,b65a7804628f11e3aedb125d9a40ea40_5.jpg,105.7,73.5,ny,1,9.99,,54.62,21.3333333333,0,102,108.4,103.6,128.2,102,-3.18,128.2,,54.62,0.01,0.72,0.17,,52.31,90,,23.26,0.0,0,0.06,0.04,0
89.7,46.7,0.02,82.2,61.6,74.7,63.8,688716dc619011e3ba35121aed33e88d_5.jpg,56.4,48.5,moscow,0.99,4.08,,69.23,18.6666666667,0.91,81.3,61.6,82.2,86.7,81.3,-3.85,86.7,0.14,69.23,0,,0.02,0.86,25.38,40,,16.71,0.0,0.01,2.07,,0.72
97.6,66.9,0.9,100.5,93.7,86.8,87.8,14bf3d865e2011e381a312a4149c821a_5.jpg,78.3,79.8,ny,1,8.54,0.01,66.92,25.0,0.95,89.5,93.7,100.5,109.4,89.5,-32.48,109.4,,66.92,0.05,,,0.99,42.31,56.92,,26.53,1.0,0.11,-53.62,0.07,0.28
77,88.9,1,105.3,60.3,67.6,98.8,3613525662d511e3a5870ad1d5d3af2d_5.jpg,60.5,86.7,ny,0.97,-7.27,,46.15,58.3333333333,0.93,107.2,60.3,105.3,72.2,107.2,7.41,72.2,,46.15,0,,0.02,0.98,71.54,43.85,0.8,52.08,1.0,0.99,4.28,,0.39
71.6,69.9,0.8,102.6,60.4,59,87.7,4476d3225fc411e3a43b12afe341ab2f_5.jpg,50.2,78.8,sao_paulo,1,7.43,,65.38,27.0,0.76,95.1,60.4,102.6,79.5,95.1,-21.6,79.5,,65.38,0,0.07,,0.96,47.69,29.23,0.02,28.98,1.0,0,-38.32,,0.06
